gnl|ECaadb|1002|NP_415616.1	gnl|RZaadb|5329	NP_415616.1
gnl|ECaadb|2372|NP_417083.1	gnl|RZaadb|4489	NP_417083.1
gnl|ECaadb|2373|NP_417084.1	gnl|RZaadb|2373	NP_417084.1
gnl|ECaadb|2374|NP_417085.1	gnl|RZaadb|5419	NP_417085.1
gnl|ECaadb|2386|NP_417098.1	gnl|RZaadb|4368	NP_417098.1
gnl|ECaadb|2389|NP_417101.1	gnl|RZaadb|4369	NP_417101.1
gnl|ECaadb|2395|NP_417109.1	gnl|RZaadb|1806	NP_417109.1
gnl|ECaadb|2396|NP_417110.1	gnl|RZaadb|367	NP_417110.1
gnl|ECaadb|23|NP_414566.1	gnl|RZaadb|5508	NP_414566.1
gnl|ECaadb|2419|NP_417147.1	gnl|RZaadb|4828	NP_417147.1
gnl|ECaadb|242|NP_414805.1	gnl|RZaadb|5986	NP_414805.1
gnl|ECaadb|2431|NP_417159.1	gnl|RZaadb|491	NP_417159.1
gnl|ECaadb|2432|NP_417160.1	gnl|RZaadb|5256	NP_417160.1
gnl|ECaadb|2433|NP_417161.1	gnl|RZaadb|5826	NP_417161.1
gnl|ECaadb|2434|NP_417162.1	gnl|RZaadb|5257	NP_417162.1
gnl|ECaadb|243|NP_414806.1	gnl|RZaadb|3094	NP_414806.1
gnl|ECaadb|2442|NP_417171.1	gnl|RZaadb|2564	NP_417171.1
gnl|ECaadb|2448|NP_417177.1	gnl|RZaadb|1985	NP_417177.1
gnl|ECaadb|244|NP_414807.1	gnl|RZaadb|3516	NP_414807.1
gnl|ECaadb|2450|NP_417179.1	gnl|RZaadb|443	NP_417179.1
gnl|ECaadb|2451|NP_417180.1	gnl|RZaadb|1272	NP_417180.1
gnl|ECaadb|2481|NP_417213.1	gnl|RZaadb|3340	NP_417213.1
gnl|ECaadb|2485|NP_417217.1	gnl|RZaadb|4059	NP_417217.1
gnl|ECaadb|2486|NP_417218.1	gnl|RZaadb|4054	NP_417218.1
gnl|ECaadb|2492|NP_417224.1	gnl|RZaadb|1745	NP_417224.1
gnl|ECaadb|2499|NP_417231.1	gnl|RZaadb|133	NP_417231.1
gnl|ECaadb|24|NP_414567.1	gnl|RZaadb|5507	NP_414567.1
gnl|ECaadb|2500|NP_417232.1	gnl|RZaadb|2963	NP_417232.1
gnl|ECaadb|2510|NP_417242.1	gnl|RZaadb|134	NP_417242.1
gnl|ECaadb|2513|NP_417245.1	gnl|RZaadb|5260	NP_417245.1
gnl|ECaadb|2525|NP_417259.1	gnl|RZaadb|561	NP_417259.1
gnl|ECaadb|2526|NP_417260.1	gnl|RZaadb|1915	NP_417260.1
gnl|ECaadb|2527|NP_417261.1	gnl|RZaadb|5929	NP_417261.1
gnl|ECaadb|2550|NP_417284.1	gnl|RZaadb|3278	NP_417284.1
gnl|ECaadb|2554|NP_417288.1	gnl|RZaadb|2466	NP_417288.1
gnl|ECaadb|2560|NP_417294.4	gnl|RZaadb|5428	NP_417294.4
gnl|ECaadb|2570|NP_417304.1	gnl|RZaadb|2285	NP_417304.1
gnl|ECaadb|2571|NP_417305.1	gnl|RZaadb|2371	NP_417305.1
gnl|ECaadb|2572|NP_417306.1	gnl|RZaadb|191	NP_417306.1
gnl|ECaadb|2573|NP_417307.1	gnl|RZaadb|4299	NP_417307.1
gnl|ECaadb|2577|NP_417311.1	gnl|RZaadb|2793	NP_417311.1
gnl|ECaadb|2580|NP_417314.1	gnl|RZaadb|345	NP_417314.1
gnl|ECaadb|2581|NP_417315.1	gnl|RZaadb|4471	NP_417315.1
gnl|ECaadb|2582|NP_417316.1	gnl|RZaadb|3572	NP_417316.1
gnl|ECaadb|2583|NP_417317.1	gnl|RZaadb|2250	NP_417317.1
gnl|ECaadb|2585|NP_417319.1	gnl|RZaadb|5901	NP_417319.1
gnl|ECaadb|2586|NP_417320.1	gnl|RZaadb|4687	NP_417320.1
gnl|ECaadb|2587|NP_417321.2	gnl|RZaadb|1574	NP_417321.2
gnl|ECaadb|25|NP_414568.1	gnl|RZaadb|3336	NP_414568.1
gnl|ECaadb|2603|NP_417347.1	gnl|RZaadb|5328	NP_417347.1
gnl|ECaadb|2605|NP_417349.4	gnl|RZaadb|2539	NP_417349.4
gnl|ECaadb|2615|NP_417359.1	gnl|RZaadb|2428	NP_417359.1
gnl|ECaadb|2620|NP_417366.1	gnl|RZaadb|1513	NP_417366.1
gnl|ECaadb|2621|NP_417367.1	gnl|RZaadb|1224	NP_417367.1
gnl|ECaadb|2622|NP_417368.1	gnl|RZaadb|1771	NP_417368.1
gnl|ECaadb|2624|NP_417370.1	gnl|RZaadb|5699	NP_417370.1
gnl|ECaadb|2629|NP_417375.1	gnl|RZaadb|364	NP_417375.1
gnl|ECaadb|2632|NP_417378.1	gnl|RZaadb|4413	NP_417378.1
gnl|ECaadb|2633|NP_417379.1	gnl|RZaadb|1949	NP_417379.1
gnl|ECaadb|2634|NP_417380.1	gnl|RZaadb|838	NP_417380.1
gnl|ECaadb|2635|NP_417381.1	gnl|RZaadb|1948	NP_417381.1
gnl|ECaadb|2636|NP_417382.1	gnl|RZaadb|4361	NP_417382.1
gnl|ECaadb|2643|NP_417389.1	gnl|RZaadb|2013	NP_417389.1
gnl|ECaadb|2644|NP_417391.1	gnl|RZaadb|2096	NP_417391.1
gnl|ECaadb|2645|NP_417392.1	gnl|RZaadb|3763	NP_417392.1
gnl|ECaadb|2650|NP_417397.1	gnl|RZaadb|2336	NP_417397.1
gnl|ECaadb|2651|NP_417398.1	gnl|RZaadb|851	NP_417398.1
gnl|ECaadb|2654|NP_417401.1	gnl|RZaadb|5047	NP_417401.1
gnl|ECaadb|2655|NP_417402.1	gnl|RZaadb|5837	NP_417402.1
gnl|ECaadb|2656|NP_417403.1	gnl|RZaadb|3296	NP_417403.1
gnl|ECaadb|2662|NP_417412.1	gnl|RZaadb|5437	NP_417412.1
gnl|ECaadb|2666|NP_417417.1	gnl|RZaadb|1061	NP_417417.1
gnl|ECaadb|2671|NP_417422.1	gnl|RZaadb|3378	NP_417422.1
gnl|ECaadb|2672|NP_417423.4	gnl|RZaadb|255	NP_417423.4
gnl|ECaadb|2675|NP_417426.1	gnl|RZaadb|4282	NP_417426.1
gnl|ECaadb|2678|NP_417429.1	gnl|RZaadb|3353	NP_417429.1
gnl|ECaadb|2684|NP_417435.1	gnl|RZaadb|3349	NP_417435.1
gnl|ECaadb|2685|NP_417436.1	gnl|RZaadb|3021	NP_417436.1
gnl|ECaadb|2695|NP_417450.1	gnl|RZaadb|4253	NP_417450.1
gnl|ECaadb|2697|NP_417453.1	gnl|RZaadb|3119	NP_417453.1
gnl|ECaadb|2705|NP_417463.4	gnl|RZaadb|3807	NP_417463.4
gnl|ECaadb|270|NP_414838.2	gnl|RZaadb|4626	NP_414838.2
gnl|ECaadb|2715|NP_417474.1	gnl|RZaadb|2076	NP_417474.1
gnl|ECaadb|2716|NP_417475.1	gnl|RZaadb|176	NP_417475.1
gnl|ECaadb|2717|NP_417476.1	gnl|RZaadb|410	NP_417476.1
gnl|ECaadb|2718|NP_417478.1	gnl|RZaadb|5029	NP_417478.1
gnl|ECaadb|2720|NP_417481.1	gnl|RZaadb|1780	NP_417481.1
gnl|ECaadb|2724|NP_417485.4	gnl|RZaadb|5683	NP_417485.4
gnl|ECaadb|2728|NP_417491.1	gnl|RZaadb|1203	NP_417491.1
gnl|ECaadb|2745|NP_417510.1	gnl|RZaadb|3911	NP_417510.1
gnl|ECaadb|2757|NP_417523.1	gnl|RZaadb|2436	NP_417523.1
gnl|ECaadb|2759|NP_417525.1	gnl|RZaadb|2862	NP_417525.1
gnl|ECaadb|2763|NP_417529.1	gnl|RZaadb|819	NP_417529.1
gnl|ECaadb|2765|NP_417531.1	gnl|RZaadb|2617	NP_417531.1
gnl|ECaadb|2766|NP_417532.1	gnl|RZaadb|3120	NP_417532.1
gnl|ECaadb|276|NP_414845.1	gnl|RZaadb|2961	NP_414845.1
gnl|ECaadb|2770|NP_417536.1	gnl|RZaadb|4394	NP_417536.1
gnl|ECaadb|2775|NP_417541.1	gnl|RZaadb|2113	NP_417541.1
gnl|ECaadb|277|NP_414846.1	gnl|RZaadb|5957	NP_414846.1
gnl|ECaadb|278|NP_414847.3	gnl|RZaadb|1164	NP_414847.3
gnl|ECaadb|27|NP_414570.1	gnl|RZaadb|3036	NP_414570.1
gnl|ECaadb|2804|NP_417573.1	gnl|RZaadb|5394	NP_417573.1
gnl|ECaadb|2806|NP_417575.1	gnl|RZaadb|1331	NP_417575.1
gnl|ECaadb|2811|NP_417585.2	gnl|RZaadb|5013	NP_417585.2
gnl|ECaadb|2813|NP_417587.1	gnl|RZaadb|869	NP_417587.1
gnl|ECaadb|2819|NP_417594.3	gnl|RZaadb|2058	NP_417594.3
gnl|ECaadb|2822|NP_417597.1	gnl|RZaadb|3277	NP_417597.1
gnl|ECaadb|2838|NP_417615.1	gnl|RZaadb|1055	NP_417615.1
gnl|ECaadb|2845|NP_417622.2	gnl|RZaadb|1520	NP_417622.2
gnl|ECaadb|2848|NP_417625.1	gnl|RZaadb|5118	NP_417625.1
gnl|ECaadb|2852|NP_417629.1	gnl|RZaadb|1482	NP_417629.1
gnl|ECaadb|2856|NP_417633.4	gnl|RZaadb|3498	NP_417633.4
gnl|ECaadb|2857|NP_417634.1	gnl|RZaadb|5564	NP_417634.1
gnl|ECaadb|2858|NP_417635.1	gnl|RZaadb|3496	NP_417635.1
gnl|ECaadb|2861|NP_417638.1	gnl|RZaadb|271	NP_417638.1
gnl|ECaadb|2866|NP_417643.1	gnl|RZaadb|1477	NP_417643.1
gnl|ECaadb|2867|NP_417644.4	gnl|RZaadb|5339	NP_417644.4
gnl|ECaadb|2868|NP_417645.1	gnl|RZaadb|1478	NP_417645.1
gnl|ECaadb|2869|NP_417646.1	gnl|RZaadb|1124	NP_417646.1
gnl|ECaadb|2871|NP_417648.4	gnl|RZaadb|244	NP_417648.4
gnl|ECaadb|2873|NP_417650.1	gnl|RZaadb|4303	NP_417650.1
gnl|ECaadb|2875|NP_417652.1	gnl|RZaadb|440	NP_417652.1
gnl|ECaadb|2876|NP_417653.1	gnl|RZaadb|4306	NP_417653.1
gnl|ECaadb|2877|NP_417654.1	gnl|RZaadb|5504	NP_417654.1
gnl|ECaadb|2879|NP_417656.1	gnl|RZaadb|3242	NP_417656.1
gnl|ECaadb|2885|NP_417662.1	gnl|RZaadb|1311	NP_417662.1
gnl|ECaadb|2887|NP_417664.1	gnl|RZaadb|5080	NP_417664.1
gnl|ECaadb|2891|NP_417668.1	gnl|RZaadb|35	NP_417668.1
gnl|ECaadb|2892|NP_417669.1	gnl|RZaadb|969	NP_417669.1
gnl|ECaadb|2894|NP_417671.1	gnl|RZaadb|34	NP_417671.1
gnl|ECaadb|289|NP_414859.1	gnl|RZaadb|351	NP_414859.1
gnl|ECaadb|28|NP_414571.1	gnl|RZaadb|2087	NP_414571.1
gnl|ECaadb|2901|NP_417679.2	gnl|RZaadb|5085	NP_417679.2
gnl|ECaadb|2902|NP_417680.1	gnl|RZaadb|515	NP_417680.1
gnl|ECaadb|2914|NP_417693.3	gnl|RZaadb|3631	NP_417693.3
gnl|ECaadb|2918|NP_417697.1	gnl|RZaadb|755	NP_417697.1
gnl|ECaadb|2919|NP_417698.1	gnl|RZaadb|669	NP_417698.1
gnl|ECaadb|2920|NP_417699.1	gnl|RZaadb|4404	NP_417699.1
gnl|ECaadb|2931|NP_417710.1	gnl|RZaadb|2918	NP_417710.1
gnl|ECaadb|2932|NP_417711.1	gnl|RZaadb|3043	NP_417711.1
gnl|ECaadb|2934|NP_417714.1	gnl|RZaadb|1096	NP_417714.1
gnl|ECaadb|2941|NP_417722.1	gnl|RZaadb|159	NP_417722.1
gnl|ECaadb|2945|NP_417726.1	gnl|RZaadb|1273	NP_417726.1
gnl|ECaadb|2953|NP_417736.2	gnl|RZaadb|1266	NP_417736.2
gnl|ECaadb|2954|NP_417737.1	gnl|RZaadb|1779	NP_417737.1
gnl|ECaadb|2960|NP_417745.1	gnl|RZaadb|5538	NP_417745.1
gnl|ECaadb|2961|NP_417746.1	gnl|RZaadb|3324	NP_417746.1
gnl|ECaadb|2964|NP_417749.1	gnl|RZaadb|3247	NP_417749.1
gnl|ECaadb|2965|NP_417751.1	gnl|RZaadb|5254	NP_417751.1
gnl|ECaadb|2967|NP_417753.1	gnl|RZaadb|745	NP_417753.1
gnl|ECaadb|2968|NP_417754.1	gnl|RZaadb|25	NP_417754.1
gnl|ECaadb|2969|NP_417755.1	gnl|RZaadb|445	NP_417755.1
gnl|ECaadb|2970|NP_417756.1	gnl|RZaadb|24	NP_417756.1
gnl|ECaadb|2971|NP_417757.1	gnl|RZaadb|39	NP_417757.1
gnl|ECaadb|2973|NP_417759.1	gnl|RZaadb|2604	NP_417759.1
gnl|ECaadb|2977|NP_417763.1	gnl|RZaadb|41	NP_417763.1
gnl|ECaadb|2978|NP_417764.1	gnl|RZaadb|50	NP_417764.1
gnl|ECaadb|2979|NP_417765.1	gnl|RZaadb|22	NP_417765.1
gnl|ECaadb|2980|NP_417766.1	gnl|RZaadb|42	NP_417766.1
gnl|ECaadb|2981|NP_417767.1	gnl|RZaadb|2606	NP_417767.1
gnl|ECaadb|2982|NP_417768.1	gnl|RZaadb|361	NP_417768.1
gnl|ECaadb|2983|NP_417769.1	gnl|RZaadb|43	NP_417769.1
gnl|ECaadb|2984|NP_417770.1	gnl|RZaadb|360	NP_417770.1
gnl|ECaadb|2986|NP_417772.1	gnl|RZaadb|44	NP_417772.1
gnl|ECaadb|2987|NP_417773.1	gnl|RZaadb|45	NP_417773.1
gnl|ECaadb|2988|NP_417774.1	gnl|RZaadb|358	NP_417774.1
gnl|ECaadb|2989|NP_417775.1	gnl|RZaadb|46	NP_417775.1
gnl|ECaadb|298|NP_414869.1	gnl|RZaadb|4283	NP_414869.1
gnl|ECaadb|2990|NP_417776.1	gnl|RZaadb|733	NP_417776.1
gnl|ECaadb|2991|NP_417777.1	gnl|RZaadb|21	NP_417777.1
gnl|ECaadb|2992|NP_417778.1	gnl|RZaadb|357	NP_417778.1
gnl|ECaadb|2993|NP_417779.1	gnl|RZaadb|2607	NP_417779.1
gnl|ECaadb|2994|NP_417780.1	gnl|RZaadb|20	NP_417780.1
gnl|ECaadb|29|NP_414572.1	gnl|RZaadb|3463	NP_414572.1
gnl|ECaadb|3009|NP_417795.1	gnl|RZaadb|5300	NP_417795.1
gnl|ECaadb|300|NP_414871.1	gnl|RZaadb|3799	NP_414871.1
gnl|ECaadb|3013|NP_417799.1	gnl|RZaadb|5847	NP_417799.1
gnl|ECaadb|3014|NP_417800.1	gnl|RZaadb|122	NP_417800.1
gnl|ECaadb|3015|NP_417801.1	gnl|RZaadb|19	NP_417801.1
gnl|ECaadb|3023|NP_417809.1	gnl|RZaadb|3102	NP_417809.1
gnl|ECaadb|3025|NP_417811.1	gnl|RZaadb|5453	NP_417811.1
gnl|ECaadb|302|NP_414873.1	gnl|RZaadb|954	NP_414873.1
gnl|ECaadb|3032|NP_417818.1	gnl|RZaadb|1079	NP_417818.1
gnl|ECaadb|3038|NP_417824.1	gnl|RZaadb|1245	NP_417824.1
gnl|ECaadb|3040|NP_417827.1	gnl|RZaadb|5318	NP_417827.1
gnl|ECaadb|3053|NP_417843.1	gnl|RZaadb|603	NP_417843.1
gnl|ECaadb|3055|NP_417845.1	gnl|RZaadb|1967	NP_417845.1
gnl|ECaadb|3058|NP_417848.1	gnl|RZaadb|4458	NP_417848.1
gnl|ECaadb|3064|NP_417855.4	gnl|RZaadb|2612	NP_417855.4
gnl|ECaadb|3069|NP_417860.2	gnl|RZaadb|1081	NP_417860.2
gnl|ECaadb|3071|NP_417862.1	gnl|RZaadb|4254	NP_417862.1
gnl|ECaadb|3073|NP_417864.1	gnl|RZaadb|815	NP_417864.1
gnl|ECaadb|3074|NP_417866.4	gnl|RZaadb|3075	NP_417866.4
gnl|ECaadb|3085|NP_417880.1	gnl|RZaadb|4704	NP_417880.1
gnl|ECaadb|3087|NP_417884.1	gnl|RZaadb|3896	NP_417884.1
gnl|ECaadb|3088|NP_417886.1	gnl|RZaadb|5098	NP_417886.1
gnl|ECaadb|3089|NP_417887.1	gnl|RZaadb|5100	NP_417887.1
gnl|ECaadb|3090|NP_417888.1	gnl|RZaadb|69	NP_417888.1
gnl|ECaadb|3091|NP_417889.1	gnl|RZaadb|4590	NP_417889.1
gnl|ECaadb|3092|NP_417890.1	gnl|RZaadb|3997	NP_417890.1
gnl|ECaadb|3098|NP_417898.1	gnl|RZaadb|2292	NP_417898.1
gnl|ECaadb|30|NP_414573.1	gnl|RZaadb|1401	NP_414573.1
gnl|ECaadb|3103|NP_417904.1	gnl|RZaadb|5065	NP_417904.1
gnl|ECaadb|3105|NP_417906.1	gnl|RZaadb|4760	NP_417906.1
gnl|ECaadb|3106|NP_417907.2	gnl|RZaadb|4761	NP_417907.2
gnl|ECaadb|3107|NP_417908.1	gnl|RZaadb|4762	NP_417908.1
gnl|ECaadb|3108|NP_417909.1	gnl|RZaadb|4763	NP_417909.1
gnl|ECaadb|3109|NP_417910.1	gnl|RZaadb|4764	NP_417910.1
gnl|ECaadb|3110|NP_417911.4	gnl|RZaadb|5835	NP_417911.4
gnl|ECaadb|3111|NP_417912.1	gnl|RZaadb|395	NP_417912.1
gnl|ECaadb|3113|NP_417914.1	gnl|RZaadb|1461	NP_417914.1
gnl|ECaadb|3116|NP_417918.1	gnl|RZaadb|1463	NP_417918.1
gnl|ECaadb|3118|NP_417920.1	gnl|RZaadb|165	NP_417920.1
gnl|ECaadb|3120|NP_417922.1	gnl|RZaadb|3105	NP_417922.1
gnl|ECaadb|3125|NP_417927.1	gnl|RZaadb|5698	NP_417927.1
gnl|ECaadb|3126|NP_417928.1	gnl|RZaadb|4463	NP_417928.1
gnl|ECaadb|3143|NP_417949.1	gnl|RZaadb|3172	NP_417949.1
gnl|ECaadb|3150|NP_417956.1	gnl|RZaadb|2769	NP_417956.1
gnl|ECaadb|3151|NP_417957.1	gnl|RZaadb|2011	NP_417957.1
gnl|ECaadb|3154|NP_417960.1	gnl|RZaadb|2103	NP_417960.1
gnl|ECaadb|3163|NP_417970.1	gnl|RZaadb|1474	NP_417970.1
gnl|ECaadb|3171|NP_417978.2	gnl|RZaadb|401	NP_417978.2
gnl|ECaadb|3173|NP_417980.1	gnl|RZaadb|4502	NP_417980.1
gnl|ECaadb|3176|NP_417983.2	gnl|RZaadb|6087	NP_417983.2
gnl|ECaadb|3178|NP_417985.1	gnl|RZaadb|1407	NP_417985.1
gnl|ECaadb|3188|NP_417997.1	gnl|RZaadb|442	NP_417997.1
gnl|ECaadb|3189|NP_417998.1	gnl|RZaadb|3158	NP_417998.1
gnl|ECaadb|318|NP_414889.1	gnl|RZaadb|1625	NP_414889.1
gnl|ECaadb|3190|NP_417999.1	gnl|RZaadb|1123	NP_417999.1
gnl|ECaadb|3191|NP_418000.1	gnl|RZaadb|441	NP_418000.1
gnl|ECaadb|3192|NP_418001.1	gnl|RZaadb|3159	NP_418001.1
gnl|ECaadb|3196|NP_418005.1	gnl|RZaadb|1130	NP_418005.1
gnl|ECaadb|3199|NP_418009.2	gnl|RZaadb|231	NP_418009.2
gnl|ECaadb|319|NP_414890.1	gnl|RZaadb|5988	NP_414890.1
gnl|ECaadb|31|NP_414574.1	gnl|RZaadb|2352	NP_414574.1
gnl|ECaadb|3204|NP_418015.1	gnl|RZaadb|804	NP_418015.1
gnl|ECaadb|3205|NP_418016.1	gnl|RZaadb|3076	NP_418016.1
gnl|ECaadb|3206|NP_418017.1	gnl|RZaadb|3083	NP_418017.1
gnl|ECaadb|3210|NP_418021.1	gnl|RZaadb|5133	NP_418021.1
gnl|ECaadb|3211|NP_418022.1	gnl|RZaadb|5132	NP_418022.1
gnl|ECaadb|3212|NP_418023.1	gnl|RZaadb|2454	NP_418023.1
gnl|ECaadb|3213|NP_418024.1	gnl|RZaadb|114	NP_418024.1
gnl|ECaadb|3214|NP_418025.1	gnl|RZaadb|1440	NP_418025.1
gnl|ECaadb|3231|NP_418045.4	gnl|RZaadb|1519	NP_418045.4
gnl|ECaadb|3238|NP_418054.1	gnl|RZaadb|3527	NP_418054.1
gnl|ECaadb|3239|NP_418055.1	gnl|RZaadb|3528	NP_418055.1
gnl|ECaadb|3246|NP_418062.1	gnl|RZaadb|2429	NP_418062.1
gnl|ECaadb|3247|NP_418063.1	gnl|RZaadb|1415	NP_418063.1
gnl|ECaadb|3248|NP_418064.1	gnl|RZaadb|415	NP_418064.1
gnl|ECaadb|3249|NP_418065.1	gnl|RZaadb|4395	NP_418065.1
gnl|ECaadb|3250|NP_418066.1	gnl|RZaadb|1014	NP_418066.1
gnl|ECaadb|3251|NP_418067.1	gnl|RZaadb|764	NP_418067.1
gnl|ECaadb|3257|NP_418073.1	gnl|RZaadb|2345	NP_418073.1
gnl|ECaadb|3258|NP_418074.1	gnl|RZaadb|2346	NP_418074.1
gnl|ECaadb|326|NP_414899.2	gnl|RZaadb|4841	NP_414899.2
gnl|ECaadb|3274|NP_418090.1	gnl|RZaadb|1139	NP_418090.1
gnl|ECaadb|3275|NP_418091.1	gnl|RZaadb|196	NP_418091.1
gnl|ECaadb|3276|NP_418092.1	gnl|RZaadb|1059	NP_418092.1
gnl|ECaadb|3277|NP_418093.1	gnl|RZaadb|56	NP_418093.1
gnl|ECaadb|327|NP_414900.1	gnl|RZaadb|4842	NP_414900.1
gnl|ECaadb|3280|NP_418096.4	gnl|RZaadb|3366	NP_418096.4
gnl|ECaadb|3281|NP_418097.2	gnl|RZaadb|3372	NP_418097.2
gnl|ECaadb|3284|NP_418101.1	gnl|RZaadb|2791	NP_418101.1
gnl|ECaadb|3288|NP_418105.1	gnl|RZaadb|658	NP_418105.1
gnl|ECaadb|3290|NP_418107.1	gnl|RZaadb|1190	NP_418107.1
gnl|ECaadb|3292|NP_418109.1	gnl|RZaadb|1850	NP_418109.1
gnl|ECaadb|329|NP_414902.1	gnl|RZaadb|4668	NP_414902.1
gnl|ECaadb|3301|NP_418118.2	gnl|RZaadb|5979	NP_418118.2
gnl|ECaadb|3304|NP_418121.1	gnl|RZaadb|2406	NP_418121.1
gnl|ECaadb|330|NP_414903.4	gnl|RZaadb|2760	NP_414903.4
gnl|ECaadb|3323|NP_418142.1	gnl|RZaadb|5087	NP_418142.1
gnl|ECaadb|3328|NP_418148.1	gnl|RZaadb|3096	NP_418148.1
gnl|ECaadb|3332|NP_418156.1	gnl|RZaadb|1054	NP_418156.1
gnl|ECaadb|3333|NP_418157.1	gnl|RZaadb|1060	NP_418157.1
gnl|ECaadb|3336|NP_418161.1	gnl|RZaadb|5534	NP_418161.1
gnl|ECaadb|3337|NP_418162.1	gnl|RZaadb|4274	NP_418162.1
gnl|ECaadb|3351|NP_418177.1	gnl|RZaadb|5128	NP_418177.1
gnl|ECaadb|3354|NP_418180.1	gnl|RZaadb|242	NP_418180.1
gnl|ECaadb|3355|NP_418181.1	gnl|RZaadb|243	NP_418181.1
gnl|ECaadb|3359|NP_418185.1	gnl|RZaadb|1848	NP_418185.1
gnl|ECaadb|335|NP_414911.1	gnl|RZaadb|1426	NP_414911.1
gnl|ECaadb|3360|NP_418186.1	gnl|RZaadb|1847	NP_418186.1
gnl|ECaadb|3362|NP_418188.1	gnl|RZaadb|1544	NP_418188.1
gnl|ECaadb|3363|NP_418189.1	gnl|RZaadb|4421	NP_418189.1
gnl|ECaadb|3364|NP_418190.1	gnl|RZaadb|4420	NP_418190.1
gnl|ECaadb|3371|NP_418197.1	gnl|RZaadb|4275	NP_418197.1
gnl|ECaadb|3379|NP_418207.1	gnl|RZaadb|1101	NP_418207.1
gnl|ECaadb|3380|NP_418208.1	gnl|RZaadb|4964	NP_418208.1
gnl|ECaadb|3381|NP_418209.1	gnl|RZaadb|5778	NP_418209.1
gnl|ECaadb|3382|NP_418210.1	gnl|RZaadb|1125	NP_418210.1
gnl|ECaadb|3384|NP_418214.2	gnl|RZaadb|3377	NP_418214.2
gnl|ECaadb|3392|NP_418228.2	gnl|RZaadb|226	NP_418228.2
gnl|ECaadb|3393|NP_418230.1	gnl|RZaadb|676	NP_418230.1
gnl|ECaadb|3397|NP_418238.1	gnl|RZaadb|3136	NP_418238.1
gnl|ECaadb|3407|NP_418254.2	gnl|RZaadb|5686	NP_418254.2
gnl|ECaadb|3409|NP_418256.1	gnl|RZaadb|4415	NP_418256.1
gnl|ECaadb|3411|NP_418258.1	gnl|RZaadb|5977	NP_418258.1
gnl|ECaadb|3412|NP_418260.1	gnl|RZaadb|1142	NP_418260.1
gnl|ECaadb|3425|NP_418282.1	gnl|RZaadb|1743	NP_418282.1
gnl|ECaadb|3433|NP_418293.2	gnl|RZaadb|2037	NP_418293.2
gnl|ECaadb|3434|NP_418294.1	gnl|RZaadb|5346	NP_418294.1
gnl|ECaadb|3440|NP_418300.1	gnl|RZaadb|3480	NP_418300.1
gnl|ECaadb|3441|NP_418301.3	gnl|RZaadb|3315	NP_418301.3
gnl|ECaadb|3443|NP_418303.2	gnl|RZaadb|6066	NP_418303.2
gnl|ECaadb|3444|NP_418304.1	gnl|RZaadb|1274	NP_418304.1
gnl|ECaadb|3446|NP_418306.1	gnl|RZaadb|194	NP_418306.1
gnl|ECaadb|344|NP_414920.1	gnl|RZaadb|2370	NP_414920.1
gnl|ECaadb|3454|NP_418316.4	gnl|RZaadb|2324	NP_418316.4
gnl|ECaadb|3456|NP_418318.1	gnl|RZaadb|961	NP_418318.1
gnl|ECaadb|3457|NP_418319.2	gnl|RZaadb|3740	NP_418319.2
gnl|ECaadb|3458|NP_418320.2	gnl|RZaadb|3897	NP_418320.2
gnl|ECaadb|345|NP_414921.2	gnl|RZaadb|5334	NP_414921.2
gnl|ECaadb|3469|NP_418331.1	gnl|RZaadb|1537	NP_418331.1
gnl|ECaadb|3475|NP_418337.1	gnl|RZaadb|1656	NP_418337.1
gnl|ECaadb|3485|NP_418348.1	gnl|RZaadb|4796	NP_418348.1
gnl|ECaadb|3486|NP_418350.1	gnl|RZaadb|175	NP_418350.1
gnl|ECaadb|3488|NP_418352.1	gnl|RZaadb|1652	NP_418352.1
gnl|ECaadb|3490|NP_418354.1	gnl|RZaadb|1917	NP_418354.1
gnl|ECaadb|3495|NP_418359.1	gnl|RZaadb|301	NP_418359.1
gnl|ECaadb|3497|NP_418361.1	gnl|RZaadb|3892	NP_418361.1
gnl|ECaadb|34|NP_414578.2	gnl|RZaadb|5771	NP_414578.2
gnl|ECaadb|3502|NP_418366.1	gnl|RZaadb|1025	NP_418366.1
gnl|ECaadb|3503|NP_418367.1	gnl|RZaadb|1024	NP_418367.1
gnl|ECaadb|3505|NP_418369.1	gnl|RZaadb|5131	NP_418369.1
gnl|ECaadb|3506|NP_418370.1	gnl|RZaadb|1545	NP_418370.1
gnl|ECaadb|3507|NP_418371.1	gnl|RZaadb|29	NP_418371.1
gnl|ECaadb|3510|NP_418374.1	gnl|RZaadb|3660	NP_418374.1
gnl|ECaadb|3512|NP_418376.1	gnl|RZaadb|2307	NP_418376.1
gnl|ECaadb|3513|NP_418377.1	gnl|RZaadb|5584	NP_418377.1
gnl|ECaadb|3529|NP_418395.1	gnl|RZaadb|1533	NP_418395.1
gnl|ECaadb|3530|NP_418396.1	gnl|RZaadb|3649	NP_418396.1
gnl|ECaadb|3531|NP_418397.2	gnl|RZaadb|1255	NP_418397.2
gnl|ECaadb|3539|NP_418405.1	gnl|RZaadb|1018	NP_418405.1
gnl|ECaadb|3540|NP_418407.1	gnl|RZaadb|123	NP_418407.1
gnl|ECaadb|3542|NP_418409.1	gnl|RZaadb|117	NP_418409.1
