gnl|ECaadb|1002	gnl|RZaadb|5329
gnl|ECaadb|3113	gnl|RZaadb|1461
gnl|ECaadb|3116	gnl|RZaadb|1463
gnl|ECaadb|3118	gnl|RZaadb|165
gnl|ECaadb|3120	gnl|RZaadb|3105
gnl|ECaadb|3125	gnl|RZaadb|5698
gnl|ECaadb|3126	gnl|RZaadb|4463
gnl|ECaadb|3143	gnl|RZaadb|3172
gnl|ECaadb|3150	gnl|RZaadb|2769
gnl|ECaadb|3151	gnl|RZaadb|2011
gnl|ECaadb|3154	gnl|RZaadb|2103
gnl|ECaadb|3163	gnl|RZaadb|1474
gnl|ECaadb|3171	gnl|RZaadb|401
gnl|ECaadb|3173	gnl|RZaadb|4502
gnl|ECaadb|3176	gnl|RZaadb|6087
gnl|ECaadb|3178	gnl|RZaadb|1407
gnl|ECaadb|3188	gnl|RZaadb|442
gnl|ECaadb|3189	gnl|RZaadb|3158
gnl|ECaadb|318	gnl|RZaadb|1625
gnl|ECaadb|3190	gnl|RZaadb|1123
gnl|ECaadb|3191	gnl|RZaadb|441
gnl|ECaadb|3192	gnl|RZaadb|3159
gnl|ECaadb|3196	gnl|RZaadb|1130
gnl|ECaadb|3199	gnl|RZaadb|231
gnl|ECaadb|319	gnl|RZaadb|5988
gnl|ECaadb|31	gnl|RZaadb|2352
gnl|ECaadb|3204	gnl|RZaadb|804
gnl|ECaadb|3205	gnl|RZaadb|3076
gnl|ECaadb|3206	gnl|RZaadb|3083
gnl|ECaadb|3210	gnl|RZaadb|5133
gnl|ECaadb|3211	gnl|RZaadb|5132
gnl|ECaadb|3212	gnl|RZaadb|2454
gnl|ECaadb|3213	gnl|RZaadb|114
gnl|ECaadb|3214	gnl|RZaadb|1440
gnl|ECaadb|3231	gnl|RZaadb|1519
gnl|ECaadb|3238	gnl|RZaadb|3527
gnl|ECaadb|3239	gnl|RZaadb|3528
gnl|ECaadb|3246	gnl|RZaadb|2429
gnl|ECaadb|3247	gnl|RZaadb|1415
gnl|ECaadb|3248	gnl|RZaadb|415
gnl|ECaadb|3249	gnl|RZaadb|4395
gnl|ECaadb|3250	gnl|RZaadb|1014
gnl|ECaadb|3251	gnl|RZaadb|764
gnl|ECaadb|3257	gnl|RZaadb|2345
gnl|ECaadb|3258	gnl|RZaadb|2346
gnl|ECaadb|326	gnl|RZaadb|4841
gnl|ECaadb|3274	gnl|RZaadb|1139
gnl|ECaadb|3275	gnl|RZaadb|196
gnl|ECaadb|3276	gnl|RZaadb|1059
gnl|ECaadb|3277	gnl|RZaadb|56
gnl|ECaadb|327	gnl|RZaadb|4842
gnl|ECaadb|3280	gnl|RZaadb|3366
gnl|ECaadb|3281	gnl|RZaadb|3372
gnl|ECaadb|3284	gnl|RZaadb|2791
gnl|ECaadb|3288	gnl|RZaadb|658
gnl|ECaadb|3290	gnl|RZaadb|1190
gnl|ECaadb|3292	gnl|RZaadb|1850
gnl|ECaadb|329	gnl|RZaadb|4668
gnl|ECaadb|3301	gnl|RZaadb|5979
gnl|ECaadb|3304	gnl|RZaadb|2406
gnl|ECaadb|330	gnl|RZaadb|2760
gnl|ECaadb|3323	gnl|RZaadb|5087
gnl|ECaadb|3328	gnl|RZaadb|3096
gnl|ECaadb|3332	gnl|RZaadb|1054
gnl|ECaadb|3333	gnl|RZaadb|1060
gnl|ECaadb|3336	gnl|RZaadb|5534
gnl|ECaadb|3337	gnl|RZaadb|4274
gnl|ECaadb|3351	gnl|RZaadb|5128
gnl|ECaadb|3354	gnl|RZaadb|242
gnl|ECaadb|3355	gnl|RZaadb|243
gnl|ECaadb|3359	gnl|RZaadb|1848
gnl|ECaadb|335	gnl|RZaadb|1426
gnl|ECaadb|3360	gnl|RZaadb|1847
gnl|ECaadb|3362	gnl|RZaadb|1544
gnl|ECaadb|3363	gnl|RZaadb|4421
gnl|ECaadb|3364	gnl|RZaadb|4420
gnl|ECaadb|3371	gnl|RZaadb|4275
gnl|ECaadb|3379	gnl|RZaadb|1101
gnl|ECaadb|3380	gnl|RZaadb|4964
gnl|ECaadb|3381	gnl|RZaadb|5778
gnl|ECaadb|3382	gnl|RZaadb|1125
gnl|ECaadb|3384	gnl|RZaadb|3377
gnl|ECaadb|3392	gnl|RZaadb|226
gnl|ECaadb|3393	gnl|RZaadb|676
gnl|ECaadb|3397	gnl|RZaadb|3136
gnl|ECaadb|3407	gnl|RZaadb|5686
gnl|ECaadb|3409	gnl|RZaadb|4415
gnl|ECaadb|3411	gnl|RZaadb|5977
gnl|ECaadb|3412	gnl|RZaadb|1142
gnl|ECaadb|3425	gnl|RZaadb|1743
gnl|ECaadb|3433	gnl|RZaadb|2037
gnl|ECaadb|3434	gnl|RZaadb|5346
gnl|ECaadb|3440	gnl|RZaadb|3480
gnl|ECaadb|3441	gnl|RZaadb|3315
gnl|ECaadb|3443	gnl|RZaadb|6066
gnl|ECaadb|3444	gnl|RZaadb|1274
gnl|ECaadb|3446	gnl|RZaadb|194
gnl|ECaadb|344	gnl|RZaadb|2370
gnl|ECaadb|3454	gnl|RZaadb|2324
gnl|ECaadb|3456	gnl|RZaadb|961
gnl|ECaadb|3457	gnl|RZaadb|3740
gnl|ECaadb|3458	gnl|RZaadb|3897
gnl|ECaadb|345	gnl|RZaadb|5334
gnl|ECaadb|3469	gnl|RZaadb|1537
gnl|ECaadb|3475	gnl|RZaadb|1656
gnl|ECaadb|3485	gnl|RZaadb|4796
gnl|ECaadb|3486	gnl|RZaadb|175
gnl|ECaadb|3488	gnl|RZaadb|1652
gnl|ECaadb|3490	gnl|RZaadb|1917
gnl|ECaadb|3495	gnl|RZaadb|301
gnl|ECaadb|3497	gnl|RZaadb|3892
gnl|ECaadb|34	gnl|RZaadb|5771
gnl|ECaadb|3502	gnl|RZaadb|1025
gnl|ECaadb|3503	gnl|RZaadb|1024
gnl|ECaadb|3505	gnl|RZaadb|5131
gnl|ECaadb|3506	gnl|RZaadb|1545
gnl|ECaadb|3507	gnl|RZaadb|29
gnl|ECaadb|3510	gnl|RZaadb|3660
gnl|ECaadb|3512	gnl|RZaadb|2307
gnl|ECaadb|3513	gnl|RZaadb|5584
gnl|ECaadb|3529	gnl|RZaadb|1533
gnl|ECaadb|3530	gnl|RZaadb|3649
gnl|ECaadb|3531	gnl|RZaadb|1255
gnl|ECaadb|3539	gnl|RZaadb|1018
gnl|ECaadb|3540	gnl|RZaadb|123
gnl|ECaadb|3542	gnl|RZaadb|117
gnl|ECaadb|3543	gnl|RZaadb|118
gnl|ECaadb|3544	gnl|RZaadb|119
gnl|ECaadb|3545	gnl|RZaadb|5832
gnl|ECaadb|3547	gnl|RZaadb|121
gnl|ECaadb|3548	gnl|RZaadb|5914
gnl|ECaadb|3551	gnl|RZaadb|3819
gnl|ECaadb|3553	gnl|RZaadb|3820
gnl|ECaadb|3554	gnl|RZaadb|3817
gnl|ECaadb|3556	gnl|RZaadb|4273
gnl|ECaadb|3559	gnl|RZaadb|17
gnl|ECaadb|355	gnl|RZaadb|241
gnl|ECaadb|3564	gnl|RZaadb|3079
gnl|ECaadb|3565	gnl|RZaadb|4289
gnl|ECaadb|3568	gnl|RZaadb|325
gnl|ECaadb|3570	gnl|RZaadb|5951
gnl|ECaadb|3574	gnl|RZaadb|5380
gnl|ECaadb|3580	gnl|RZaadb|3289
gnl|ECaadb|3590	gnl|RZaadb|1033
gnl|ECaadb|3594	gnl|RZaadb|5503
gnl|ECaadb|3599	gnl|RZaadb|1250
gnl|ECaadb|3603	gnl|RZaadb|5354
gnl|ECaadb|3605	gnl|RZaadb|1843
gnl|ECaadb|3606	gnl|RZaadb|1196
gnl|ECaadb|3610	gnl|RZaadb|5384
gnl|ECaadb|3612	gnl|RZaadb|1854
gnl|ECaadb|3617	gnl|RZaadb|1540
gnl|ECaadb|361	gnl|RZaadb|1857
gnl|ECaadb|3623	gnl|RZaadb|4284
gnl|ECaadb|362	gnl|RZaadb|1858
gnl|ECaadb|3641	gnl|RZaadb|5243
gnl|ECaadb|3644	gnl|RZaadb|563
gnl|ECaadb|3647	gnl|RZaadb|479
gnl|ECaadb|3648	gnl|RZaadb|1039
gnl|ECaadb|3649	gnl|RZaadb|3469
gnl|ECaadb|3650	gnl|RZaadb|274
gnl|ECaadb|3651	gnl|RZaadb|3468
gnl|ECaadb|3652	gnl|RZaadb|3467
gnl|ECaadb|3653	gnl|RZaadb|3466
gnl|ECaadb|3656	gnl|RZaadb|5557
gnl|ECaadb|3663	gnl|RZaadb|4025
gnl|ECaadb|3669	gnl|RZaadb|4550
gnl|ECaadb|3677	gnl|RZaadb|5417
gnl|ECaadb|3688	gnl|RZaadb|4667
gnl|ECaadb|3691	gnl|RZaadb|363
gnl|ECaadb|3692	gnl|RZaadb|3108
gnl|ECaadb|3696	gnl|RZaadb|675
gnl|ECaadb|3697	gnl|RZaadb|388
gnl|ECaadb|3699	gnl|RZaadb|5404
gnl|ECaadb|369	gnl|RZaadb|16
gnl|ECaadb|3704	gnl|RZaadb|4322
gnl|ECaadb|3712	gnl|RZaadb|3386
gnl|ECaadb|3713	gnl|RZaadb|5933
gnl|ECaadb|3717	gnl|RZaadb|5373
gnl|ECaadb|3719	gnl|RZaadb|1282
gnl|ECaadb|371	gnl|RZaadb|319
gnl|ECaadb|3721	gnl|RZaadb|482
gnl|ECaadb|3723	gnl|RZaadb|1464
gnl|ECaadb|3724	gnl|RZaadb|995
gnl|ECaadb|3727	gnl|RZaadb|3915
gnl|ECaadb|3728	gnl|RZaadb|3916
gnl|ECaadb|372	gnl|RZaadb|840
gnl|ECaadb|3730	gnl|RZaadb|287
gnl|ECaadb|3733	gnl|RZaadb|2614
gnl|ECaadb|3737	gnl|RZaadb|524
gnl|ECaadb|3748	gnl|RZaadb|655
gnl|ECaadb|3756	gnl|RZaadb|2256
gnl|ECaadb|3757	gnl|RZaadb|1338
gnl|ECaadb|3758	gnl|RZaadb|1240
gnl|ECaadb|3759	gnl|RZaadb|2553
gnl|ECaadb|375	gnl|RZaadb|4479
gnl|ECaadb|3769	gnl|RZaadb|1552
gnl|ECaadb|376	gnl|RZaadb|3066
gnl|ECaadb|3770	gnl|RZaadb|298
gnl|ECaadb|3772	gnl|RZaadb|631
gnl|ECaadb|3776	gnl|RZaadb|1137
gnl|ECaadb|3779	gnl|RZaadb|2408
gnl|ECaadb|377	gnl|RZaadb|5680
gnl|ECaadb|3783	gnl|RZaadb|4680
gnl|ECaadb|3785	gnl|RZaadb|2615
gnl|ECaadb|3787	gnl|RZaadb|1100
gnl|ECaadb|3788	gnl|RZaadb|1694
gnl|ECaadb|3794	gnl|RZaadb|1734
gnl|ECaadb|3799	gnl|RZaadb|2924
gnl|ECaadb|3802	gnl|RZaadb|4935
gnl|ECaadb|3803	gnl|RZaadb|4937
gnl|ECaadb|3812	gnl|RZaadb|5264
gnl|ECaadb|3814	gnl|RZaadb|3992
gnl|ECaadb|3821	gnl|RZaadb|2029
gnl|ECaadb|3847	gnl|RZaadb|3905
gnl|ECaadb|3856	gnl|RZaadb|1974
gnl|ECaadb|3857	gnl|RZaadb|1427
gnl|ECaadb|386	gnl|RZaadb|596
gnl|ECaadb|3877	gnl|RZaadb|3281
gnl|ECaadb|387	gnl|RZaadb|4501
gnl|ECaadb|3891	gnl|RZaadb|3371
gnl|ECaadb|3896	gnl|RZaadb|284
gnl|ECaadb|3897	gnl|RZaadb|3451
gnl|ECaadb|3898	gnl|RZaadb|5554
gnl|ECaadb|3904	gnl|RZaadb|1195
gnl|ECaadb|3906	gnl|RZaadb|78
gnl|ECaadb|3910	gnl|RZaadb|1146
gnl|ECaadb|3911	gnl|RZaadb|5135
gnl|ECaadb|393	gnl|RZaadb|48
gnl|ECaadb|394	gnl|RZaadb|609
gnl|ECaadb|395	gnl|RZaadb|1215
gnl|ECaadb|400	gnl|RZaadb|5261
gnl|ECaadb|403	gnl|RZaadb|545
gnl|ECaadb|4057	gnl|RZaadb|900
gnl|ECaadb|406	gnl|RZaadb|7
gnl|ECaadb|407	gnl|RZaadb|1566
gnl|ECaadb|408	gnl|RZaadb|839
gnl|ECaadb|4117	gnl|RZaadb|2267
gnl|ECaadb|4122	gnl|RZaadb|535
gnl|ECaadb|4132	gnl|RZaadb|2816
gnl|ECaadb|4135	gnl|RZaadb|5156
gnl|ECaadb|4139	gnl|RZaadb|1597
gnl|ECaadb|4141	gnl|RZaadb|4459
gnl|ECaadb|4142	gnl|RZaadb|107
gnl|ECaadb|414	gnl|RZaadb|3433
gnl|ECaadb|4152	gnl|RZaadb|5046
gnl|ECaadb|4154	gnl|RZaadb|5512
gnl|ECaadb|4155	gnl|RZaadb|3118
gnl|ECaadb|4165	gnl|RZaadb|1932
gnl|ECaadb|4169	gnl|RZaadb|5315
gnl|ECaadb|4175	gnl|RZaadb|4457
gnl|ECaadb|417	gnl|RZaadb|4998
gnl|ECaadb|4182	gnl|RZaadb|642
gnl|ECaadb|4183	gnl|RZaadb|2405
gnl|ECaadb|4192	gnl|RZaadb|4868
gnl|ECaadb|4194	gnl|RZaadb|5159
gnl|ECaadb|4195	gnl|RZaadb|3097
gnl|ECaadb|4198	gnl|RZaadb|5668
gnl|ECaadb|41	gnl|RZaadb|728
gnl|ECaadb|4201	gnl|RZaadb|646
gnl|ECaadb|4202	gnl|RZaadb|5320
gnl|ECaadb|4204	gnl|RZaadb|2919
gnl|ECaadb|4205	gnl|RZaadb|2599
gnl|ECaadb|4209	gnl|RZaadb|5709
gnl|ECaadb|4210	gnl|RZaadb|2745
gnl|ECaadb|4215	gnl|RZaadb|1550
gnl|ECaadb|4217	gnl|RZaadb|2808
gnl|ECaadb|4218	gnl|RZaadb|2347
gnl|ECaadb|4220	gnl|RZaadb|1388
gnl|ECaadb|4221	gnl|RZaadb|1503
gnl|ECaadb|4223	gnl|RZaadb|1666
gnl|ECaadb|4224	gnl|RZaadb|3357
gnl|ECaadb|4229	gnl|RZaadb|1553
gnl|ECaadb|4237	gnl|RZaadb|809
gnl|ECaadb|4241	gnl|RZaadb|5279
gnl|ECaadb|4244	gnl|RZaadb|3276
gnl|ECaadb|4247	gnl|RZaadb|53
gnl|ECaadb|424	gnl|RZaadb|618
gnl|ECaadb|4265	gnl|RZaadb|4511
gnl|ECaadb|427	gnl|RZaadb|462
gnl|ECaadb|4283	gnl|RZaadb|161
gnl|ECaadb|428	gnl|RZaadb|4092
gnl|ECaadb|429	gnl|RZaadb|2603
gnl|ECaadb|430	gnl|RZaadb|5078
gnl|ECaadb|433	gnl|RZaadb|3208
gnl|ECaadb|434	gnl|RZaadb|3759
gnl|ECaadb|436	gnl|RZaadb|3404
gnl|ECaadb|442	gnl|RZaadb|548
gnl|ECaadb|448	gnl|RZaadb|4473
gnl|ECaadb|449	gnl|RZaadb|4378
gnl|ECaadb|450	gnl|RZaadb|1558
gnl|ECaadb|456	gnl|RZaadb|1434
gnl|ECaadb|459	gnl|RZaadb|4058
gnl|ECaadb|466	gnl|RZaadb|1891
gnl|ECaadb|470	gnl|RZaadb|3517
gnl|ECaadb|471	gnl|RZaadb|5062
gnl|ECaadb|472	gnl|RZaadb|581
gnl|ECaadb|474	gnl|RZaadb|197
gnl|ECaadb|478	gnl|RZaadb|5927
gnl|ECaadb|488	gnl|RZaadb|2504
gnl|ECaadb|48	gnl|RZaadb|474
gnl|ECaadb|490	gnl|RZaadb|3399
gnl|ECaadb|49	gnl|RZaadb|2790
gnl|ECaadb|4	gnl|RZaadb|3030
gnl|ECaadb|50	gnl|RZaadb|1197
gnl|ECaadb|512	gnl|RZaadb|5833
gnl|ECaadb|549	gnl|RZaadb|3878
gnl|ECaadb|551	gnl|RZaadb|2308
gnl|ECaadb|556	gnl|RZaadb|4297
gnl|ECaadb|566	gnl|RZaadb|1804
gnl|ECaadb|574	gnl|RZaadb|781
gnl|ECaadb|580	gnl|RZaadb|4281
gnl|ECaadb|589	gnl|RZaadb|3350
gnl|ECaadb|597	gnl|RZaadb|3346
gnl|ECaadb|598	gnl|RZaadb|606
gnl|ECaadb|599	gnl|RZaadb|3345
gnl|ECaadb|604	gnl|RZaadb|4329
gnl|ECaadb|610	gnl|RZaadb|772
gnl|ECaadb|617	gnl|RZaadb|3522
gnl|ECaadb|618	gnl|RZaadb|3521
gnl|ECaadb|619	gnl|RZaadb|4619
gnl|ECaadb|620	gnl|RZaadb|6001
gnl|ECaadb|621	gnl|RZaadb|4620
gnl|ECaadb|622	gnl|RZaadb|4621
gnl|ECaadb|623	gnl|RZaadb|4622
gnl|ECaadb|630	gnl|RZaadb|1711
gnl|ECaadb|633	gnl|RZaadb|4892
gnl|ECaadb|634	gnl|RZaadb|4893
gnl|ECaadb|635	gnl|RZaadb|5051
gnl|ECaadb|642	gnl|RZaadb|560
gnl|ECaadb|643	gnl|RZaadb|4400
gnl|ECaadb|645	gnl|RZaadb|4402
gnl|ECaadb|646	gnl|RZaadb|580
gnl|ECaadb|647	gnl|RZaadb|1548
gnl|ECaadb|648	gnl|RZaadb|4410
gnl|ECaadb|649	gnl|RZaadb|4406
gnl|ECaadb|650	gnl|RZaadb|4408
gnl|ECaadb|654	gnl|RZaadb|3774
gnl|ECaadb|655	gnl|RZaadb|3773
gnl|ECaadb|657	gnl|RZaadb|179
gnl|ECaadb|658	gnl|RZaadb|178
gnl|ECaadb|664	gnl|RZaadb|4714
gnl|ECaadb|668	gnl|RZaadb|5341
gnl|ECaadb|669	gnl|RZaadb|3464
gnl|ECaadb|66	gnl|RZaadb|5674
gnl|ECaadb|670	gnl|RZaadb|4331
gnl|ECaadb|673	gnl|RZaadb|792
gnl|ECaadb|677	gnl|RZaadb|878
gnl|ECaadb|678	gnl|RZaadb|1582
gnl|ECaadb|679	gnl|RZaadb|5943
gnl|ECaadb|67	gnl|RZaadb|4366
gnl|ECaadb|68	gnl|RZaadb|919
gnl|ECaadb|695	gnl|RZaadb|2025
gnl|ECaadb|696	gnl|RZaadb|3088
gnl|ECaadb|697	gnl|RZaadb|779
gnl|ECaadb|700	gnl|RZaadb|466
gnl|ECaadb|706	gnl|RZaadb|2502
gnl|ECaadb|707	gnl|RZaadb|2501
gnl|ECaadb|708	gnl|RZaadb|2500
gnl|ECaadb|709	gnl|RZaadb|2499
gnl|ECaadb|710	gnl|RZaadb|2498
gnl|ECaadb|727	gnl|RZaadb|3425
gnl|ECaadb|72	gnl|RZaadb|481
gnl|ECaadb|739	gnl|RZaadb|861
gnl|ECaadb|740	gnl|RZaadb|1908
gnl|ECaadb|742	gnl|RZaadb|4662
gnl|ECaadb|743	gnl|RZaadb|3442
gnl|ECaadb|750	gnl|RZaadb|2364
gnl|ECaadb|75	gnl|RZaadb|1385
gnl|ECaadb|767	gnl|RZaadb|1118
gnl|ECaadb|768	gnl|RZaadb|3166
gnl|ECaadb|769	gnl|RZaadb|1119
gnl|ECaadb|770	gnl|RZaadb|3165
gnl|ECaadb|773	gnl|RZaadb|5774
gnl|ECaadb|780	gnl|RZaadb|5377
gnl|ECaadb|784	gnl|RZaadb|3884
gnl|ECaadb|785	gnl|RZaadb|4072
gnl|ECaadb|78	gnl|RZaadb|5857
gnl|ECaadb|795	gnl|RZaadb|1782
gnl|ECaadb|796	gnl|RZaadb|13
gnl|ECaadb|79	gnl|RZaadb|2298
gnl|ECaadb|800	gnl|RZaadb|2356
gnl|ECaadb|801	gnl|RZaadb|4068
gnl|ECaadb|804	gnl|RZaadb|2597
gnl|ECaadb|805	gnl|RZaadb|1744
gnl|ECaadb|80	gnl|RZaadb|112
gnl|ECaadb|81	gnl|RZaadb|1382
gnl|ECaadb|820	gnl|RZaadb|3081
gnl|ECaadb|822	gnl|RZaadb|3532
gnl|ECaadb|823	gnl|RZaadb|1034
gnl|ECaadb|824	gnl|RZaadb|12
gnl|ECaadb|826	gnl|RZaadb|275
gnl|ECaadb|828	gnl|RZaadb|3050
gnl|ECaadb|829	gnl|RZaadb|950
gnl|ECaadb|830	gnl|RZaadb|3487
gnl|ECaadb|839	gnl|RZaadb|1409
gnl|ECaadb|83	gnl|RZaadb|1381
gnl|ECaadb|840	gnl|RZaadb|3995
gnl|ECaadb|843	gnl|RZaadb|278
gnl|ECaadb|844	gnl|RZaadb|2860
gnl|ECaadb|847	gnl|RZaadb|5899
gnl|ECaadb|84	gnl|RZaadb|1380
gnl|ECaadb|857	gnl|RZaadb|3262
gnl|ECaadb|85	gnl|RZaadb|2297
gnl|ECaadb|866	gnl|RZaadb|3501
gnl|ECaadb|877	gnl|RZaadb|2647
gnl|ECaadb|880	gnl|RZaadb|2012
gnl|ECaadb|89	gnl|RZaadb|108
gnl|ECaadb|8	gnl|RZaadb|103
gnl|ECaadb|911	gnl|RZaadb|1614
gnl|ECaadb|918	gnl|RZaadb|5337
gnl|ECaadb|91	gnl|RZaadb|4482
gnl|ECaadb|923	gnl|RZaadb|5207
gnl|ECaadb|924	gnl|RZaadb|5412
gnl|ECaadb|925	gnl|RZaadb|4066
gnl|ECaadb|938	gnl|RZaadb|4048
gnl|ECaadb|957	gnl|RZaadb|2913
gnl|ECaadb|95	gnl|RZaadb|1012
gnl|ECaadb|966	gnl|RZaadb|3295
gnl|ECaadb|970	gnl|RZaadb|257
gnl|ECaadb|973	gnl|RZaadb|3343
gnl|ECaadb|978	gnl|RZaadb|1110
gnl|ECaadb|980	gnl|RZaadb|3187
gnl|ECaadb|982	gnl|RZaadb|883
gnl|ECaadb|984	gnl|RZaadb|1113
gnl|ECaadb|990	gnl|RZaadb|1298
gnl|ECaadb|993	gnl|RZaadb|9
gnl|ECaadb|994	gnl|RZaadb|5442
gnl|ECaadb|995	gnl|RZaadb|5441
gnl|ECaadb|996	gnl|RZaadb|2792
gnl|ECaadb|997	gnl|RZaadb|957
gnl|ECaadb|998	gnl|RZaadb|15
gnl|ECaadb|999	gnl|RZaadb|657
