RPHASCH2410_RS30325	amidohydrolase	WP_016736951.1
RPHASCH2410_RS03030	DNA helicase RecG	WP_016733032.1
RPHASCH2410_RS03040	transcription-repair coupling factor	WP_016733034.1
RPHASCH2410_RS03080	type I glutamate--ammonia ligase	WP_004671872.1
RPHASCH2410_RS03085	DUF3240 domain-containing protein	WP_003539626.1
RPHASCH2410_RS03090	bifunctional ADP-dependent NAD(P)H-hydrate	WP_046977072.1
RPHASCH2410_RS03105	excinuclease ABC subunit UvrA	WP_016733040.1
RPHASCH2410_RS03110	single-stranded DNA-binding protein	WP_016733041.1
RPHASCH2410_RS03115	MarC family protein	WP_004671901.1
RPHASCH2410_RS03120	DNA gyrase subunit A	WP_029531195.1
RPHASCH2410_RS03130	pantetheine-phosphate adenylyltransferase	WP_004671912.1
RPHASCH2410_RS03140	peptidylprolyl isomerase	WP_004671916.1
RPHASCH2410_RS03145	tRNA preQ1(34) S-adenosylmethionine	WP_016733044.1
RPHASCH2410_RS03150	tRNA guanosine(34) transglycosylase Tgt	WP_016733045.1
RPHASCH2410_RS03185	ABC transporter ATP-binding protein	WP_016733051.1
RPHASCH2410_RS03270	adenylate cyclase	WP_016733068.1
RPHASCH2410_RS03350	mechanosensitive ion channel protein	WP_016733083.1
RPHASCH2410_RS03360	diaminopropionate ammonia-lyase	WP_029531210.1
RPHASCH2410_RS03365	Zn-dependent hydrolase	WP_016733085.1
RPHASCH2410_RS03395	TatD family deoxyribonuclease	WP_016733089.1
RPHASCH2410_RS03415	dTMP kinase	WP_029531211.1
RPHASCH2410_RS03420	D-alanyl-D-alanine carboxypeptidase	WP_080956136.1
RPHASCH2410_RS03425	septal ring lytic transglycosylase RlpA family	WP_016733095.1
RPHASCH2410_RS03460	alkylphosphonate uptake protein	WP_010025202.1
RPHASCH2410_RS03495	anthranilate phosphoribosyltransferase	WP_004672493.1
RPHASCH2410_RS03500	indole-3-glycerol phosphate synthase TrpC	WP_016733105.1
RPHASCH2410_RS03505	cyclic pyranopterin monophosphate synthase MoaC	WP_010005650.1
RPHASCH2410_RS03510	molybdopterin molybdenumtransferase MoeA	WP_016733106.1
RPHASCH2410_RS03545	CTP synthase	WP_016733113.1
RPHASCH2410_RS03555	triose-phosphate isomerase	WP_016733115.1
RPHASCH2410_RS11995	carbonic anhydrase	WP_010058543.1
RPHASCH2410_RS12135	lysozyme	WP_016734479.1
RPHASCH2410_RS12230	sulfate adenylyltransferase subunit CysN	WP_004669530.1
RPHASCH2410_RS12235	sulfate adenylyltransferase subunit CysD	WP_016734464.1
RPHASCH2410_RS12240	phosphoadenylyl-sulfate reductase	WP_004669533.1
RPHASCH2410_RS12245	Rrf2 family transcriptional regulator	WP_016734463.1
RPHASCH2410_RS12270	choline dehydrogenase	WP_016734462.1
RPHASCH2410_RS12275	betaine-aldehyde dehydrogenase	WP_046977107.1
RPHASCH2410_RS12280	transcriptional regulator BetI	WP_012483077.1
RPHASCH2410_RS12520	DUF853 domain-containing protein	WP_016734419.1
RPHASCH2410_RS12545	trans-aconitate 2-methyltransferase	WP_012483117.1
RPHASCH2410_RS12575	branched-chain amino acid aminotransferase	WP_016734414.1
RPHASCH2410_RS12580	LysR family transcriptional regulator	WP_016734413.1
RPHASCH2410_RS12600	ammonia-dependent NAD(+) synthetase	WP_016734409.1
RPHASCH2410_RS12605	glutathione S-transferase	WP_029531567.1
RPHASCH2410_RS12610	TetR/AcrR family transcriptional regulator	WP_010025457.1
RPHASCH2410_RS12615	MFS transporter	WP_016734407.1
RPHASCH2410_RS12640	superoxide dismutase	WP_016734404.1
RPHASCH2410_RS12685	metal/formaldehyde-sensitive transcriptional	WP_010021162.1
RPHASCH2410_RS12690	cation transporter	WP_016734398.1
RPHASCH2410_RS12700	glucose/quinate/shikimate family membrane-bound	WP_016734396.1
RPHASCH2410_RS12705	YdiU family protein	WP_029531566.1
RPHASCH2410_RS12720	S9 family peptidase	WP_016734391.1
RPHASCH2410_RS12755	universal stress protein	WP_012483158.1
RPHASCH2410_RS12760	DNA-binding protein	WP_004674979.1
RPHASCH2410_RS12765	N-acetyltransferase	WP_016734385.1
RPHASCH2410_RS12780	co-chaperone GroES	WP_004674972.1
RPHASCH2410_RS12825	peptide-methionine (R)-S-oxide reductase	WP_016734376.1
RPHASCH2410_RS12875	cysteine desulfuration protein SufE	WP_029531563.1
RPHASCH2410_RS12925	YcgN family cysteine cluster protein	WP_016734361.1
RPHASCH2410_RS13020	DNA-binding response regulator	WP_012483203.1
RPHASCH2410_RS13045	heme lyase CcmF/NrfE family subunit	WP_046977113.1
RPHASCH2410_RS13050	cytochrome c-type biogenesis protein CcmH	WP_016734342.1
RPHASCH2410_RS13060	DNA-binding response regulator	WP_037113567.1
RPHASCH2410_RS13070	bifunctional [glutamate--ammonia	WP_016734340.1
RPHASCH2410_RS13080	aminopeptidase N	WP_016734338.1
RPHASCH2410_RS13110	AcrB/AcrD/AcrF family protein	WP_016734334.1
RPHASCH2410_RS13135	L,D-transpeptidase	WP_004672572.1
RPHASCH2410_RS13155	MFS transporter	WP_012483227.1
RPHASCH2410_RS13165	glutamine synthetase	WP_016734327.1
RPHASCH2410_RS13230	AMP nucleosidase	WP_012483239.1
RPHASCH2410_RS13330	pyridine nucleotide-disulfide oxidoreductase	WP_016734300.1
RPHASCH2410_RS13350	lytic transglycosylase	WP_016734298.1
RPHASCH2410_RS13355	4-hydroxy-tetrahydrodipicolinate synthase	WP_016734297.1
RPHASCH2410_RS13360	SsrA-binding protein	WP_004675044.1
RPHASCH2410_RS13370	DNA-directed RNA polymerase subunit omega	WP_003574261.1
RPHASCH2410_RS13375	bifunctional (p)ppGpp	WP_012483259.1
RPHASCH2410_RS13385	holo-ACP synthase	WP_004675052.1
RPHASCH2410_RS13390	signal peptidase I	WP_012483261.1
RPHASCH2410_RS13395	ribonuclease 3	WP_004675053.1
RPHASCH2410_RS13400	GTPase Era	WP_016734296.1
RPHASCH2410_RS13425	MOSC domain-containing protein	WP_016734293.1
RPHASCH2410_RS13430	HD domain-containing protein	WP_029531551.1
RPHASCH2410_RS13445	superoxide dismutase family protein	WP_016734288.1
RPHASCH2410_RS13450	mechanosensitive ion channel protein	WP_012483271.1
RPHASCH2410_RS13490	YnfA family protein	WP_029531549.1
RPHASCH2410_RS13495	SOS response-associated peptidase	WP_016734279.1
RPHASCH2410_RS13545	EamA family transporter RarD	WP_016734271.1
RPHASCH2410_RS13575	cysteine--tRNA ligase	WP_016734264.1
RPHASCH2410_RS13585	KR domain-containing protein	WP_016734262.1
RPHASCH2410_RS13590	amidophosphoribosyltransferase	WP_016734261.1
RPHASCH2410_RS13600	DNA repair protein RadA	WP_012483297.1
RPHASCH2410_RS13615	replicative DNA helicase	WP_012483300.1
RPHASCH2410_RS13620	50S ribosomal protein L9	WP_016734256.1
RPHASCH2410_RS13630	30S ribosomal protein S18	WP_004680498.1
RPHASCH2410_RS13635	30S ribosomal protein S6	WP_004680499.1
RPHASCH2410_RS13640	NADP-dependent oxidoreductase	WP_016734254.1
RPHASCH2410_RS13645	[acyl-carrier-protein] S-malonyltransferase	WP_016734253.1
RPHASCH2410_RS13650	3-oxoacyl-[acyl-carrier-protein] reductase	WP_010061153.1
RPHASCH2410_RS13655	acyl carrier protein	WP_003547058.1
RPHASCH2410_RS13660	beta-ketoacyl-[acyl-carrier-protein] synthase	WP_004680503.1
RPHASCH2410_RS13665	endolytic transglycosylase MltG	WP_029531547.1
RPHASCH2410_RS13670	YicC family protein	WP_016734251.1
RPHASCH2410_RS13675	guanylate kinase	WP_004680508.1
RPHASCH2410_RS13680	16S rRNA	WP_016734250.1
RPHASCH2410_RS13685	4-hydroxythreonine-4-phosphate dehydrogenase	WP_012483306.1
RPHASCH2410_RS13715	cytosol aminopeptidase	WP_016734246.1
RPHASCH2410_RS13775	ABC transporter ATP-binding protein	WP_029531544.1
RPHASCH2410_RS13795	nucleoside-diphosphate kinase	WP_004680549.1
RPHASCH2410_RS13815	molybdenum cofactor biosynthesis protein MoaE	WP_029531542.1
RPHASCH2410_RS13830	CDP-diacylglycerol--glycerol-3-phosphate	WP_004671846.1
RPHASCH2410_RS13835	excinuclease ABC subunit UvrC	WP_016734223.1
RPHASCH2410_RS13855	23S rRNA (adenine(2030)-N(6))-methyltransferase	WP_016734220.1
RPHASCH2410_RS13865	NUDIX domain-containing protein	WP_012483336.1
RPHASCH2410_RS13875	phosphoribosylglycinamide formyltransferase	WP_016734217.1
RPHASCH2410_RS13880	phosphoribosylformylglycinamidine cyclo-ligase	WP_016734216.1
RPHASCH2410_RS13895	RNA degradosome polyphosphate kinase	WP_004673738.1
RPHASCH2410_RS13930	aspartate--tRNA ligase	WP_029531536.1
RPHASCH2410_RS13935	IS3 family transposase	WP_010009678.1
RPHASCH2410_RS13950	DNA topoisomerase IV subunit A	WP_012483348.1
RPHASCH2410_RS13985	porphobilinogen synthase	WP_016734201.1
RPHASCH2410_RS14055	amidase	WP_004673821.1
RPHASCH2410_RS14060	serine hydroxymethyltransferase	WP_012483354.1
RPHASCH2410_RS14065	transcriptional regulator NrdR	WP_003547190.1
RPHASCH2410_RS14070	bifunctional	WP_016734185.1
RPHASCH2410_RS14075	riboflavin synthase	WP_012483356.1
RPHASCH2410_RS14080	glucose-1-phosphate thymidylyltransferase	WP_016734184.1
RPHASCH2410_RS14085	dTDP-4-dehydrorhamnose reductase	WP_016734183.1
RPHASCH2410_RS14090	dTDP-glucose 4,6-dehydratase	WP_016734182.1
RPHASCH2410_RS14095	dTDP-4-dehydrorhamnose 3,5-epimerase	WP_012483360.1
RPHASCH2410_RS14145	6,7-dimethyl-8-ribityllumazine synthase	WP_004674116.1
RPHASCH2410_RS14150	N utilization substance protein B	WP_010018343.1
RPHASCH2410_RS14175	phosphate acyltransferase PlsX	WP_029531529.1
RPHASCH2410_RS14180	ketoacyl-ACP synthase III	WP_029531528.1
RPHASCH2410_RS14185	integration host factor subunit alpha	WP_016734167.1
RPHASCH2410_RS14235	glutathione S-transferase family protein	WP_029531436.1
RPHASCH2410_RS14270	benzoate transporter	WP_016733732.1
RPHASCH2410_RS14290	NADPH-dependent 7-cyano-7-deazaguanine reductase	WP_029531438.1
RPHASCH2410_RS14295	cation transporter	WP_004671573.1
RPHASCH2410_RS14310	anthranilate synthase component I	WP_016733738.1
RPHASCH2410_RS14330	membrane protein	WP_004671586.1
RPHASCH2410_RS14355	thymidine kinase	WP_004678102.1
RPHASCH2410_RS14380	transcriptional regulator	WP_004678111.1
RPHASCH2410_RS14395	branched-chain amino acid ABC transporter	WP_016733745.1
RPHASCH2410_RS14400	adenine deaminase	WP_016733746.1
RPHASCH2410_RS14415	alpha-glucosidase	WP_016733749.1
RPHASCH2410_RS14420	peptide ABC transporter substrate-binding	WP_004678124.1
RPHASCH2410_RS14425	ABC transporter	WP_004678125.1
RPHASCH2410_RS14430	peptide ABC transporter permease	WP_004678127.1
RPHASCH2410_RS14435	ABC transporter ATP-binding protein	WP_004678129.1
RPHASCH2410_RS14440	ABC transporter ATP-binding protein	WP_016733750.1
RPHASCH2410_RS14450	sugar kinase	WP_080515661.1
RPHASCH2410_RS14485	ribosome biogenesis GTPase Der	WP_012484719.1
RPHASCH2410_RS14505	peptide transporter	WP_012484721.1
RPHASCH2410_RS14510	MFS transporter	WP_012484722.1
RPHASCH2410_RS14515	PadR family transcriptional regulator	WP_012484723.1
RPHASCH2410_RS14565	xanthine dehydrogenase small subunit	WP_016733765.1
RPHASCH2410_RS14605	guanine deaminase	WP_016733775.1
RPHASCH2410_RS14610	alpha-hydroxy-acid oxidizing protein	WP_016733776.1
RPHASCH2410_RS14620	phosphatase	WP_016733778.1
RPHASCH2410_RS14625	hypothetical protein	WP_016733779.1
RPHASCH2410_RS14630	CDP-alcohol phosphatidyltransferase family	WP_016733780.1
RPHASCH2410_RS14645	membrane protein	WP_016733783.1
RPHASCH2410_RS14655	hydroxyisourate hydrolase	WP_012484804.1
RPHASCH2410_RS14660	ureidoglycolate lyase	WP_012484805.1
RPHASCH2410_RS14690	5-methylaminomethyl-2-thiouridine	WP_016733789.1
RPHASCH2410_RS14695	hybrid sensor histidine kinase/response	WP_029531449.1
RPHASCH2410_RS14725	RNA helicase	WP_029531450.1
RPHASCH2410_RS14775	sugar ABC transporter permease	WP_012484828.1
RPHASCH2410_RS14780	xylose ABC transporter ATP-binding protein	WP_004668891.1
RPHASCH2410_RS14815	D-xylose ABC transporter substrate-binding	WP_016733806.1
RPHASCH2410_RS14950	LysR family transcriptional regulator	WP_016733827.1
RPHASCH2410_RS14955	class C beta-lactamase	WP_029531463.1
RPHASCH2410_RS15065	colanic acid biosynthesis glycosyltransferase	WP_080956162.1
RPHASCH2410_RS15190	uracil-DNA glycosylase	WP_016733866.1
RPHASCH2410_RS15230	DUF1956 domain-containing protein	WP_016733870.1
RPHASCH2410_RS15235	secretion protein HlyD	WP_016733871.1
RPHASCH2410_RS15240	ABC transporter ATP-binding protein	WP_016733872.1
RPHASCH2410_RS15245	ABC transporter permease	WP_016733873.1
RPHASCH2410_RS15250	ABC transporter permease	WP_016733874.1
RPHASCH2410_RS15275	multidrug transporter	WP_016733877.1
RPHASCH2410_RS15375	FAD-binding protein	WP_016733890.1
RPHASCH2410_RS15380	NAD-dependent dihydropyrimidine dehydrogenase	WP_016733891.1
RPHASCH2410_RS15505	TetR family transcriptional regulator	WP_029531483.1
RPHASCH2410_RS15515	DUF559 domain-containing protein	WP_016733917.1
RPHASCH2410_RS15520	dihydropyrimidinase	WP_016733918.1
RPHASCH2410_RS15675	ABC transporter ATP-binding protein	WP_037116131.1
RPHASCH2410_RS15680	ABC transporter ATP-binding protein	WP_004675679.1
RPHASCH2410_RS15685	high-affinity branched-chain amino acid ABC	WP_004675681.1
RPHASCH2410_RS15690	branched-chain amino acid ABC transporter	WP_012484986.1
RPHASCH2410_RS15695	3(2),5-bisphosphate nucleotidase	WP_016733934.1
RPHASCH2410_RS15720	N-acetyltransferase	WP_029531489.1
RPHASCH2410_RS15765	RluA family pseudouridine synthase	WP_029531492.1
RPHASCH2410_RS15770	RNA polymerase sigma factor RpoH	WP_012484996.1
RPHASCH2410_RS15780	adenylosuccinate synthetase	WP_012484998.1
RPHASCH2410_RS15810	MexE family multidrug efflux RND transporter	WP_004675748.1
RPHASCH2410_RS15820	LysR family transcriptional regulator	WP_004675751.1
RPHASCH2410_RS15845	EmrB/QacA family drug resistance transporter	WP_016733951.1
RPHASCH2410_RS15855	MarR family transcriptional regulator	WP_016733953.1
RPHASCH2410_RS15995	NADH-quinone oxidoreductase subunit N	WP_012485037.1
RPHASCH2410_RS16005	NADH-quinone oxidoreductase subunit B 2	WP_012485038.1
RPHASCH2410_RS16015	NADH-quinone oxidoreductase subunit D 2	WP_012485040.1
RPHASCH2410_RS16020	NADH-quinone oxidoreductase subunit NuoE	WP_029531497.1
RPHASCH2410_RS16025	NADH-quinone oxidoreductase subunit F	WP_016733976.1
RPHASCH2410_RS16030	NADH dehydrogenase (quinone) subunit G	WP_046977126.1
RPHASCH2410_RS16040	4Fe-4S dicluster domain-containing protein	WP_016733978.1
RPHASCH2410_RS16045	NADH-quinone oxidoreductase subunit NuoH	WP_016733979.1
RPHASCH2410_RS16135	efflux RND transporter periplasmic adaptor	WP_012485052.1
RPHASCH2410_RS16140	multidrug efflux RND transporter permease	WP_016737126.1
RPHASCH2410_RS16245	acetate kinase	WP_016737143.1
RPHASCH2410_RS16305	tRNA 2-thiouridine(34) synthase MnmA	WP_029532158.1
RPHASCH2410_RS16315	phosphoglycerate dehydrogenase	WP_016737156.1
RPHASCH2410_RS16330	phosphoglucosamine mutase	WP_012485090.1
RPHASCH2410_RS16335	ATP-dependent metallopeptidase FtsH/Yme1/Tma	WP_012485091.1
RPHASCH2410_RS16345	tol-pal system protein YbgF	WP_016737160.1
RPHASCH2410_RS16350	peptidoglycan-associated lipoprotein Pal	WP_012485094.1
RPHASCH2410_RS16370	protein TolR	WP_016737164.1
RPHASCH2410_RS16375	protein TolQ	WP_004671617.1
RPHASCH2410_RS16380	tol-pal system-associated acyl-CoA thioesterase	WP_004671619.1
RPHASCH2410_RS16425	YebC/PmpR family DNA-binding transcriptional	WP_012485106.1
RPHASCH2410_RS16430	LLM class flavin-dependent oxidoreductase	WP_012485107.1
RPHASCH2410_RS16440	crossover junction endodeoxyribonuclease RuvC	WP_004669780.1
RPHASCH2410_RS16455	Holliday junction branch migration protein RuvA	WP_012485110.1
RPHASCH2410_RS16460	Holliday junction branch migration DNA helicase	WP_016737173.1
RPHASCH2410_RS16545	transketolase	WP_016737185.1
RPHASCH2410_RS16550	type I glyceraldehyde-3-phosphate dehydrogenase	WP_037118110.1
RPHASCH2410_RS16565	potassium/proton antiporter	WP_012485127.1
RPHASCH2410_RS16570	phosphoglycerate kinase	WP_016737188.1
RPHASCH2410_RS16600	50S ribosomal protein L31	WP_003566413.1
RPHASCH2410_RS16640	inositol monophosphatase	WP_012485142.1
RPHASCH2410_RS16650	LamB/YcsF family protein	WP_016737194.1
RPHASCH2410_RS16665	chemotaxis response regulator protein-glutamate	WP_012485148.1
RPHASCH2410_RS16750	5-(carboxyamino)imidazole ribonucleotide mutase	WP_004679370.1
RPHASCH2410_RS16755	5-(carboxyamino)imidazole ribonucleotide	WP_016737206.1
RPHASCH2410_RS16760	50S ribosomal protein L36	WP_003582204.1
RPHASCH2410_RS16775	gamma-glutamyltransferase	WP_016737209.1
RPHASCH2410_RS16780	threonine/serine dehydratase	WP_010022050.1
RPHASCH2410_RS16810	pyruvate kinase	WP_012485171.1
RPHASCH2410_RS16840	DUF882 domain-containing protein	WP_016737217.1
RPHASCH2410_RS16845	sigma-54-dependent Fis family transcriptional	WP_016737218.1
RPHASCH2410_RS16855	aminodeoxychorismate synthase, component I	WP_016737220.1
RPHASCH2410_RS16915	RNA polymerase sigma factor RpoD	WP_004677699.1
RPHASCH2410_RS16925	L-threonine 3-dehydrogenase	WP_016733664.1
RPHASCH2410_RS16930	glycine C-acetyltransferase	WP_016733665.1
RPHASCH2410_RS16935	DNA helicase RecQ	WP_016733666.1
RPHASCH2410_RS16940	DNA primase	WP_016733667.1
RPHASCH2410_RS16955	carbamoyl-phosphate synthase small subunit	WP_012484607.1
RPHASCH2410_RS16985	tetracycline resistance MFS efflux pump	WP_012484611.1
RPHASCH2410_RS16995	flagellar biosynthesis protein FlgM	WP_012484613.1
RPHASCH2410_RS17010	carbamoyl-phosphate synthase large subunit	WP_016733674.1
RPHASCH2410_RS17025	transcription elongation factor GreA	WP_004672775.1
RPHASCH2410_RS17035	C4-dicarboxylate transporter	WP_012484619.1
RPHASCH2410_RS17055	thioredoxin-disulfide reductase	WP_016733683.1
RPHASCH2410_RS17070	alkene reductase	WP_029531421.1
RPHASCH2410_RS17135	PQQ-dependent sugar dehydrogenase	WP_016733693.1
RPHASCH2410_RS17170	HAMP domain-containing protein	WP_004680168.1
RPHASCH2410_RS17195	MBL fold metallo-hydrolase	WP_012484643.1
RPHASCH2410_RS17205	pyrroline-5-carboxylate reductase	WP_016733701.1
RPHASCH2410_RS17220	prolipoprotein diacylglyceryl transferase	WP_016733702.1
RPHASCH2410_RS17230	peptidoglycan editing factor PgeF	WP_016733704.1
RPHASCH2410_RS17245	ribose-phosphate pyrophosphokinase	WP_004680140.1
RPHASCH2410_RS17255	50S ribosomal protein L25	WP_012484653.1
RPHASCH2410_RS17270	aminoacyl-tRNA hydrolase	WP_016733709.1
RPHASCH2410_RS17285	redox-regulated ATPase YchF	WP_010031314.1
RPHASCH2410_RS17305	adenine phosphoribosyltransferase	WP_004680123.1
RPHASCH2410_RS17345	tRNA (cytidine(34)-2-O)-methyltransferase	WP_012484670.1
RPHASCH2410_RS17350	Na/Pi cotransporter family protein	WP_016733718.1
RPHASCH2410_RS17360	oxygen-dependent coproporphyrinogen oxidase	WP_016733719.1
RPHASCH2410_RS17380	CoA pyrophosphatase	WP_016733721.1
RPHASCH2410_RS17405	ATP-dependent DNA helicase	WP_046977133.1
RPHASCH2410_RS17415	bifunctional pyrazinamidase/nicotinamidase	WP_039750705.1
RPHASCH2410_RS17435	branched-chain amino acid ABC transporter	WP_016733589.1
RPHASCH2410_RS17445	aminopeptidase P family protein	WP_029531394.1
RPHASCH2410_RS17450	50S ribosomal protein L11 methyltransferase	WP_016733591.1
RPHASCH2410_RS17470	hypothetical protein	WP_004668787.1
RPHASCH2410_RS17480	GNAT family N-acetyltransferase	WP_016733594.1
RPHASCH2410_RS17485	NAD-dependent DNA ligase LigA	WP_016733595.1
RPHASCH2410_RS17495	DNA repair protein RecN	WP_004668797.1
RPHASCH2410_RS17505	UDP-3-O-acyl-N-acetylglucosamine deacetylase	WP_004668803.1
RPHASCH2410_RS17525	D-alanine--D-alanine ligase	WP_016733599.1
RPHASCH2410_RS17540	UDP-N-acetylmuramate--L-alanine ligase	WP_012484498.1
RPHASCH2410_RS17545	undecaprenyldiphospho-muramoylpentapeptide	WP_012484499.1
RPHASCH2410_RS17555	UDP-N-acetylmuramoyl-L-alanine--D-glutamate	WP_012484500.1
RPHASCH2410_RS17560	phospho-N-acetylmuramoyl-pentapeptide-	WP_004668823.1
RPHASCH2410_RS17565	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,	WP_016733600.1
RPHASCH2410_RS17570	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,	WP_039750722.1
RPHASCH2410_RS17585	ribosomal RNA small subunit methyltransferase H	WP_012484505.1
RPHASCH2410_RS17610	N-acetylmuramoyl-L-alanine amidase	WP_029531397.1
RPHASCH2410_RS17625	LysE family translocator	WP_012484514.1
RPHASCH2410_RS17665	methylenetetrahydrofolate reductase [NAD(P)H]	WP_016733612.1
RPHASCH2410_RS17675	energy-dependent translational throttle protein	WP_004668527.1
RPHASCH2410_RS17680	ribonuclease	WP_016733613.1
RPHASCH2410_RS17695	CoA transferase	WP_016733616.1
RPHASCH2410_RS17705	RidA family protein	WP_004668514.1
RPHASCH2410_RS17815	GntR family transcriptional regulator	WP_016733629.1
RPHASCH2410_RS17830	methionine synthase	WP_029531404.1
RPHASCH2410_RS17835	AGE family epimerase/isomerase	WP_016733632.1
RPHASCH2410_RS17975	SIMPL domain-containing protein	WP_016733653.1
RPHASCH2410_RS17990	YjbQ family protein	WP_029531410.1
RPHASCH2410_RS18180	ketol-acid reductoisomerase	WP_004668557.1
RPHASCH2410_RS18200	hydrolase	WP_012484416.1
RPHASCH2410_RS18240	glycosyltransferase	WP_016733537.1
RPHASCH2410_RS18245	AraC family transcriptional regulator	WP_016733538.1
RPHASCH2410_RS18250	NAD(P)-dependent alcohol dehydrogenase	WP_004674733.1
RPHASCH2410_RS18280	aspartate/glutamate racemase family protein	WP_016733543.1
RPHASCH2410_RS18310	SDR family NAD(P)-dependent oxidoreductase	WP_016733549.1
RPHASCH2410_RS18315	pyridoxine 5-phosphate synthase	WP_016733550.1
RPHASCH2410_RS18395	LysE family translocator	WP_016733559.1
RPHASCH2410_RS18400	aldo/keto reductase	WP_012484449.1
RPHASCH2410_RS18405	acetolactate synthase small subunit	WP_004677216.1
RPHASCH2410_RS18410	acetolactate synthase 3 large subunit	WP_016733560.1
RPHASCH2410_RS18435	tRNA (adenosine(37)-N6)-dimethylallyltransferase	WP_029531389.1
RPHASCH2410_RS18440	phosphoserine phosphatase SerB	WP_016733565.1
RPHASCH2410_RS18450	protease modulator HflC	WP_004677232.1
RPHASCH2410_RS18455	FtsH protease activity modulator HflK	WP_004677233.1
RPHASCH2410_RS32640	hypothetical protein	WP_080574763.1
RPHASCH2410_RS18465	thymidylate synthase	WP_016733582.1
RPHASCH2410_RS18500	LysR family transcriptional regulator	WP_016733572.1
RPHASCH2410_RS18535	cell envelope biogenesis protein OmpA	WP_004673336.1
RPHASCH2410_RS18570	SpoVR family protein	WP_016733577.1
RPHASCH2410_RS18575	hypothetical protein	WP_016733578.1
RPHASCH2410_RS18580	PrkA family serine protein kinase	WP_004673346.1
RPHASCH2410_RS18635	DUF805 domain-containing protein	WP_012484216.1
RPHASCH2410_RS18655	excinuclease ABC subunit UvrB	WP_029531319.1
RPHASCH2410_RS18680	cold-shock protein	WP_003540801.1
RPHASCH2410_RS18690	tRNA dihydrouridine(20/20a) synthase DusA	WP_029531326.1
RPHASCH2410_RS18785	DUF808 domain-containing protein	WP_020465358.1
RPHASCH2410_RS18790	transcriptional regulator	WP_012484248.1
RPHASCH2410_RS18815	hypothetical protein	WP_016733397.1
RPHASCH2410_RS18895	Na+/H+ antiporter	WP_016733409.1
RPHASCH2410_RS19025	cell division protein FtsZ	WP_012484292.1
RPHASCH2410_RS19195	MFS transporter	WP_046977138.1
RPHASCH2410_RS19270	PLP-dependent aminotransferase family protein	WP_029531360.1
RPHASCH2410_RS19415	FAA hydrolase family protein	WP_010023807.1
RPHASCH2410_RS19420	gamma carbonic anhydrase family protein	WP_016733493.1
RPHASCH2410_RS19450	transcriptional repressor	WP_004679676.1
RPHASCH2410_RS19455	zinc ABC transporter permease	WP_012484378.1
RPHASCH2410_RS19460	metal ABC transporter ATP-binding protein	WP_016733499.1
RPHASCH2410_RS19465	zinc ABC transporter substrate-binding protein	WP_016733500.1
RPHASCH2410_RS19490	bifunctional adenosylcobinamide	WP_016733330.1
RPHASCH2410_RS19535	amino acid transporter	WP_010020265.1
RPHASCH2410_RS19540	transcriptional regulator ArgP	WP_016733336.1
RPHASCH2410_RS19550	MgtC/SapB family protein	WP_010024507.1
RPHASCH2410_RS19585	GlxA family transcriptional regulator	WP_003579912.1
RPHASCH2410_RS19615	arsenate reductase (glutaredoxin)	WP_016733346.1
RPHASCH2410_RS19625	mechanosensitive ion channel family protein	WP_016733347.1
RPHASCH2410_RS19675	siderophore-interacting protein	WP_016733357.1
RPHASCH2410_RS19720	acyl-CoA thioesterase	WP_004672829.1
RPHASCH2410_RS03570	ferrochelatase	WP_016737226.1
RPHASCH2410_RS03575	SPFH/Band 7/PHB domain protein	WP_016737227.1
RPHASCH2410_RS03580	NfeD family protein	WP_010018737.1
RPHASCH2410_RS03585	KpsF/GutQ family sugar-phosphate isomerase	WP_016737228.1
RPHASCH2410_RS03595	UTP--glucose-1-phosphate uridylyltransferase	WP_029532203.1
RPHASCH2410_RS03615	glutamate synthase subunit beta	WP_004677801.1
RPHASCH2410_RS03620	glutamate synthase large subunit	WP_016737236.1
RPHASCH2410_RS03635	bile acid:sodium symporter	WP_016737238.1
RPHASCH2410_RS03640	heat-shock protein IbpA	WP_016737239.1
RPHASCH2410_RS03645	alpha/beta hydrolase	WP_012485198.1
RPHASCH2410_RS03770	glycogen/starch/alpha-glucan phosphorylase	WP_016737257.1
RPHASCH2410_RS03780	glucose-1-phosphate adenylyltransferase	WP_004668370.1
RPHASCH2410_RS03785	glycogen synthase GlgA	WP_016737260.1
RPHASCH2410_RS03865	NAD synthetase	WP_016737270.1
RPHASCH2410_RS03875	NAD(P)(+) transhydrogenase (Re/Si-specific)	WP_029532226.1
RPHASCH2410_RS03910	gamma-glutamyl-gamma-aminobutyrate hydrolase	WP_004668318.1
RPHASCH2410_RS03935	GTP-binding protein	WP_016737281.1
RPHASCH2410_RS03960	N-acetyltransferase	WP_016737286.1
RPHASCH2410_RS03995	DUF533 domain-containing protein	WP_016737293.1
RPHASCH2410_RS04000	ketohydroxyglutarate aldolase	WP_016737294.1
RPHASCH2410_RS04015	rhodanese domain-containing protein	WP_029532244.1
RPHASCH2410_RS04025	beta-glucosidase	WP_016737298.1
RPHASCH2410_RS04060	LacI family transcriptional regulator	WP_016737301.1
RPHASCH2410_RS04065	xylose isomerase	WP_016737302.1
RPHASCH2410_RS04070	xylulokinase	WP_016737303.1
RPHASCH2410_RS04085	HlyD family secretion protein	WP_012485276.1
