gnl|RZaadb|1006|WP_011428143.1	WP_011428143.1	gnl|RZaadb|1006
gnl|RZaadb|211|WP_004672323.1	WP_004672323.1	gnl|RZaadb|211
gnl|RZaadb|2140|WP_016733397.1	WP_016733397.1	gnl|RZaadb|2140
gnl|RZaadb|2150|WP_016733409.1	WP_016733409.1	gnl|RZaadb|2150
gnl|RZaadb|219|WP_004672493.1	WP_004672493.1	gnl|RZaadb|219
gnl|RZaadb|21|WP_003547550.1	WP_003547550.1	gnl|RZaadb|21
gnl|RZaadb|2215|WP_016733493.1	WP_016733493.1	gnl|RZaadb|2215
gnl|RZaadb|2218|WP_016733499.1	WP_016733499.1	gnl|RZaadb|2218
gnl|RZaadb|2219|WP_016733500.1	WP_016733500.1	gnl|RZaadb|2219
gnl|RZaadb|222|WP_004672572.1	WP_004672572.1	gnl|RZaadb|222
gnl|RZaadb|2245|WP_016733537.1	WP_016733537.1	gnl|RZaadb|2245
gnl|RZaadb|2246|WP_016733538.1	WP_016733538.1	gnl|RZaadb|2246
gnl|RZaadb|224|WP_004672606.1	WP_004672606.1	gnl|RZaadb|224
gnl|RZaadb|2250|WP_016733543.1	WP_016733543.1	gnl|RZaadb|2250
gnl|RZaadb|2256|WP_016733549.1	WP_016733549.1	gnl|RZaadb|2256
gnl|RZaadb|2257|WP_016733550.1	WP_016733550.1	gnl|RZaadb|2257
gnl|RZaadb|2266|WP_016733559.1	WP_016733559.1	gnl|RZaadb|2266
gnl|RZaadb|2267|WP_016733560.1	WP_016733560.1	gnl|RZaadb|2267
gnl|RZaadb|2269|WP_016733565.1	WP_016733565.1	gnl|RZaadb|2269
gnl|RZaadb|226|WP_004672616.1	WP_004672616.1	gnl|RZaadb|226
gnl|RZaadb|2275|WP_016733572.1	WP_016733572.1	gnl|RZaadb|2275
gnl|RZaadb|227|WP_004672623.1	WP_004672623.1	gnl|RZaadb|227
gnl|RZaadb|2280|WP_016733577.1	WP_016733577.1	gnl|RZaadb|2280
gnl|RZaadb|2281|WP_016733578.1	WP_016733578.1	gnl|RZaadb|2281
gnl|RZaadb|2285|WP_016733582.1	WP_016733582.1	gnl|RZaadb|2285
gnl|RZaadb|2289|WP_016733589.1	WP_016733589.1	gnl|RZaadb|2289
gnl|RZaadb|228|WP_004672626.1	WP_004672626.1	gnl|RZaadb|228
gnl|RZaadb|2290|WP_016733591.1	WP_016733591.1	gnl|RZaadb|2290
gnl|RZaadb|2292|WP_016733594.1	WP_016733594.1	gnl|RZaadb|2292
gnl|RZaadb|2293|WP_016733595.1	WP_016733595.1	gnl|RZaadb|2293
gnl|RZaadb|2297|WP_016733599.1	WP_016733599.1	gnl|RZaadb|2297
gnl|RZaadb|2298|WP_016733600.1	WP_016733600.1	gnl|RZaadb|2298
gnl|RZaadb|229|WP_004672627.1	WP_004672627.1	gnl|RZaadb|229
gnl|RZaadb|22|WP_003547562.1	WP_003547562.1	gnl|RZaadb|22
gnl|RZaadb|2307|WP_016733612.1	WP_016733612.1	gnl|RZaadb|2307
gnl|RZaadb|2308|WP_016733613.1	WP_016733613.1	gnl|RZaadb|2308
gnl|RZaadb|2311|WP_016733616.1	WP_016733616.1	gnl|RZaadb|2311
gnl|RZaadb|231|WP_004672637.1	WP_004672637.1	gnl|RZaadb|231
gnl|RZaadb|2322|WP_016733629.1	WP_016733629.1	gnl|RZaadb|2322
gnl|RZaadb|2324|WP_016733632.1	WP_016733632.1	gnl|RZaadb|2324
gnl|RZaadb|2336|WP_016733653.1	WP_016733653.1	gnl|RZaadb|2336
gnl|RZaadb|2345|WP_016733664.1	WP_016733664.1	gnl|RZaadb|2345
gnl|RZaadb|2346|WP_016733665.1	WP_016733665.1	gnl|RZaadb|2346
gnl|RZaadb|2347|WP_016733666.1	WP_016733666.1	gnl|RZaadb|2347
gnl|RZaadb|2348|WP_016733667.1	WP_016733667.1	gnl|RZaadb|2348
gnl|RZaadb|2352|WP_016733674.1	WP_016733674.1	gnl|RZaadb|2352
gnl|RZaadb|2356|WP_016733683.1	WP_016733683.1	gnl|RZaadb|2356
gnl|RZaadb|235|WP_004672645.1	WP_004672645.1	gnl|RZaadb|235
gnl|RZaadb|2364|WP_016733693.1	WP_016733693.1	gnl|RZaadb|2364
gnl|RZaadb|2370|WP_016733701.1	WP_016733701.1	gnl|RZaadb|2370
gnl|RZaadb|2371|WP_016733702.1	WP_016733702.1	gnl|RZaadb|2371
gnl|RZaadb|2373|WP_016733704.1	WP_016733704.1	gnl|RZaadb|2373
gnl|RZaadb|2378|WP_016733709.1	WP_016733709.1	gnl|RZaadb|2378
gnl|RZaadb|2384|WP_016733718.1	WP_016733718.1	gnl|RZaadb|2384
gnl|RZaadb|2385|WP_016733719.1	WP_016733719.1	gnl|RZaadb|2385
gnl|RZaadb|2387|WP_016733721.1	WP_016733721.1	gnl|RZaadb|2387
gnl|RZaadb|2393|WP_016733732.1	WP_016733732.1	gnl|RZaadb|2393
gnl|RZaadb|2398|WP_016733738.1	WP_016733738.1	gnl|RZaadb|2398
gnl|RZaadb|2405|WP_016733745.1	WP_016733745.1	gnl|RZaadb|2405
gnl|RZaadb|2406|WP_016733746.1	WP_016733746.1	gnl|RZaadb|2406
gnl|RZaadb|2408|WP_016733749.1	WP_016733749.1	gnl|RZaadb|2408
gnl|RZaadb|2409|WP_016733750.1	WP_016733750.1	gnl|RZaadb|2409
gnl|RZaadb|241|WP_004672768.1	WP_004672768.1	gnl|RZaadb|241
gnl|RZaadb|2421|WP_016733765.1	WP_016733765.1	gnl|RZaadb|2421
gnl|RZaadb|2428|WP_016733775.1	WP_016733775.1	gnl|RZaadb|2428
gnl|RZaadb|2429|WP_016733776.1	WP_016733776.1	gnl|RZaadb|2429
gnl|RZaadb|242|WP_004672769.1	WP_004672769.1	gnl|RZaadb|242
gnl|RZaadb|2431|WP_016733778.1	WP_016733778.1	gnl|RZaadb|2431
gnl|RZaadb|2432|WP_016733779.1	WP_016733779.1	gnl|RZaadb|2432
gnl|RZaadb|2433|WP_016733780.1	WP_016733780.1	gnl|RZaadb|2433
gnl|RZaadb|2436|WP_016733783.1	WP_016733783.1	gnl|RZaadb|2436
gnl|RZaadb|243|WP_004672770.1	WP_004672770.1	gnl|RZaadb|243
gnl|RZaadb|2441|WP_016733789.1	WP_016733789.1	gnl|RZaadb|2441
gnl|RZaadb|244|WP_004672775.1	WP_004672775.1	gnl|RZaadb|244
gnl|RZaadb|2454|WP_016733806.1	WP_016733806.1	gnl|RZaadb|2454
gnl|RZaadb|2466|WP_016733827.1	WP_016733827.1	gnl|RZaadb|2466
gnl|RZaadb|2494|WP_016733866.1	WP_016733866.1	gnl|RZaadb|2494
gnl|RZaadb|2498|WP_016733870.1	WP_016733870.1	gnl|RZaadb|2498
gnl|RZaadb|2499|WP_016733871.1	WP_016733871.1	gnl|RZaadb|2499
gnl|RZaadb|24|WP_003547577.1	WP_003547577.1	gnl|RZaadb|24
gnl|RZaadb|2500|WP_016733872.1	WP_016733872.1	gnl|RZaadb|2500
gnl|RZaadb|2501|WP_016733873.1	WP_016733873.1	gnl|RZaadb|2501
gnl|RZaadb|2502|WP_016733874.1	WP_016733874.1	gnl|RZaadb|2502
gnl|RZaadb|2504|WP_016733877.1	WP_016733877.1	gnl|RZaadb|2504
gnl|RZaadb|250|WP_004672829.1	WP_004672829.1	gnl|RZaadb|250
gnl|RZaadb|2515|WP_016733890.1	WP_016733890.1	gnl|RZaadb|2515
gnl|RZaadb|2516|WP_016733891.1	WP_016733891.1	gnl|RZaadb|2516
gnl|RZaadb|2538|WP_016733917.1	WP_016733917.1	gnl|RZaadb|2538
gnl|RZaadb|2539|WP_016733918.1	WP_016733918.1	gnl|RZaadb|2539
gnl|RZaadb|2553|WP_016733934.1	WP_016733934.1	gnl|RZaadb|2553
gnl|RZaadb|255|WP_004673076.1	WP_004673076.1	gnl|RZaadb|255
gnl|RZaadb|2564|WP_016733951.1	WP_016733951.1	gnl|RZaadb|2564
gnl|RZaadb|2566|WP_016733953.1	WP_016733953.1	gnl|RZaadb|2566
gnl|RZaadb|257|WP_004673096.1	WP_004673096.1	gnl|RZaadb|257
gnl|RZaadb|2586|WP_016733976.1	WP_016733976.1	gnl|RZaadb|2586
gnl|RZaadb|2587|WP_016733978.1	WP_016733978.1	gnl|RZaadb|2587
gnl|RZaadb|2588|WP_016733979.1	WP_016733979.1	gnl|RZaadb|2588
gnl|RZaadb|2590|WP_016733983.1	WP_016733983.1	gnl|RZaadb|2590
gnl|RZaadb|2597|WP_016733995.1	WP_016733995.1	gnl|RZaadb|2597
gnl|RZaadb|2599|WP_016733999.1	WP_016733999.1	gnl|RZaadb|2599
gnl|RZaadb|25|WP_003547579.1	WP_003547579.1	gnl|RZaadb|25
gnl|RZaadb|2600|WP_016734001.1	WP_016734001.1	gnl|RZaadb|2600
gnl|RZaadb|2603|WP_016734004.1	WP_016734004.1	gnl|RZaadb|2603
gnl|RZaadb|2604|WP_016734005.1	WP_016734005.1	gnl|RZaadb|2604
gnl|RZaadb|2606|WP_016734007.1	WP_016734007.1	gnl|RZaadb|2606
gnl|RZaadb|2607|WP_016734008.1	WP_016734008.1	gnl|RZaadb|2607
gnl|RZaadb|2608|WP_016734011.1	WP_016734011.1	gnl|RZaadb|2608
gnl|RZaadb|2612|WP_016734016.1	WP_016734016.1	gnl|RZaadb|2612
gnl|RZaadb|2613|WP_016734018.1	WP_016734018.1	gnl|RZaadb|2613
gnl|RZaadb|2614|WP_016734019.1	WP_016734019.1	gnl|RZaadb|2614
gnl|RZaadb|2615|WP_016734020.1	WP_016734020.1	gnl|RZaadb|2615
gnl|RZaadb|2617|WP_016734022.1	WP_016734022.1	gnl|RZaadb|2617
gnl|RZaadb|2618|WP_016734023.1	WP_016734023.1	gnl|RZaadb|2618
gnl|RZaadb|2619|WP_016734024.1	WP_016734024.1	gnl|RZaadb|2619
gnl|RZaadb|2620|WP_016734025.1	WP_016734025.1	gnl|RZaadb|2620
gnl|RZaadb|2625|WP_016734034.1	WP_016734034.1	gnl|RZaadb|2625
gnl|RZaadb|2626|WP_016734036.1	WP_016734036.1	gnl|RZaadb|2626
gnl|RZaadb|2629|WP_016734039.1	WP_016734039.1	gnl|RZaadb|2629
gnl|RZaadb|2631|WP_016734041.1	WP_016734041.1	gnl|RZaadb|2631
gnl|RZaadb|2632|WP_016734042.1	WP_016734042.1	gnl|RZaadb|2632
gnl|RZaadb|2647|WP_016734063.1	WP_016734063.1	gnl|RZaadb|2647
gnl|RZaadb|2655|WP_016734072.1	WP_016734072.1	gnl|RZaadb|2655
gnl|RZaadb|267|WP_004673336.1	WP_004673336.1	gnl|RZaadb|267
gnl|RZaadb|268|WP_004673346.1	WP_004673346.1	gnl|RZaadb|268
gnl|RZaadb|2704|WP_016734127.1	WP_016734127.1	gnl|RZaadb|2704
gnl|RZaadb|270|WP_004673394.1	WP_004673394.1	gnl|RZaadb|270
gnl|RZaadb|271|WP_004673395.1	WP_004673395.1	gnl|RZaadb|271
gnl|RZaadb|2730|WP_016734160.1	WP_016734160.1	gnl|RZaadb|2730
gnl|RZaadb|2731|WP_016734162.1	WP_016734162.1	gnl|RZaadb|2731
gnl|RZaadb|2735|WP_016734167.1	WP_016734167.1	gnl|RZaadb|2735
gnl|RZaadb|2745|WP_016734182.1	WP_016734182.1	gnl|RZaadb|2745
gnl|RZaadb|2746|WP_016734183.1	WP_016734183.1	gnl|RZaadb|2746
gnl|RZaadb|2747|WP_016734184.1	WP_016734184.1	gnl|RZaadb|2747
gnl|RZaadb|2748|WP_016734185.1	WP_016734185.1	gnl|RZaadb|2748
gnl|RZaadb|274|WP_004673514.1	WP_004673514.1	gnl|RZaadb|274
gnl|RZaadb|275|WP_004673526.1	WP_004673526.1	gnl|RZaadb|275
gnl|RZaadb|2760|WP_016734201.1	WP_016734201.1	gnl|RZaadb|2760
gnl|RZaadb|2767|WP_016734216.1	WP_016734216.1	gnl|RZaadb|2767
gnl|RZaadb|2768|WP_016734217.1	WP_016734217.1	gnl|RZaadb|2768
gnl|RZaadb|2769|WP_016734220.1	WP_016734220.1	gnl|RZaadb|2769
gnl|RZaadb|276|WP_004673532.1	WP_004673532.1	gnl|RZaadb|276
gnl|RZaadb|2772|WP_016734223.1	WP_016734223.1	gnl|RZaadb|2772
gnl|RZaadb|277|WP_004673538.1	WP_004673538.1	gnl|RZaadb|277
gnl|RZaadb|2787|WP_016734246.1	WP_016734246.1	gnl|RZaadb|2787
gnl|RZaadb|278|WP_004673542.1	WP_004673542.1	gnl|RZaadb|278
gnl|RZaadb|2790|WP_016734250.1	WP_016734250.1	gnl|RZaadb|2790
gnl|RZaadb|2791|WP_016734251.1	WP_016734251.1	gnl|RZaadb|2791
gnl|RZaadb|2792|WP_016734253.1	WP_016734253.1	gnl|RZaadb|2792
gnl|RZaadb|2793|WP_016734254.1	WP_016734254.1	gnl|RZaadb|2793
gnl|RZaadb|2795|WP_016734256.1	WP_016734256.1	gnl|RZaadb|2795
gnl|RZaadb|2798|WP_016734261.1	WP_016734261.1	gnl|RZaadb|2798
gnl|RZaadb|2799|WP_016734262.1	WP_016734262.1	gnl|RZaadb|2799
gnl|RZaadb|2801|WP_016734264.1	WP_016734264.1	gnl|RZaadb|2801
gnl|RZaadb|2808|WP_016734271.1	WP_016734271.1	gnl|RZaadb|2808
gnl|RZaadb|2816|WP_016734279.1	WP_016734279.1	gnl|RZaadb|2816
gnl|RZaadb|2819|WP_016734288.1	WP_016734288.1	gnl|RZaadb|2819
gnl|RZaadb|2822|WP_016734293.1	WP_016734293.1	gnl|RZaadb|2822
gnl|RZaadb|2825|WP_016734296.1	WP_016734296.1	gnl|RZaadb|2825
gnl|RZaadb|2826|WP_016734297.1	WP_016734297.1	gnl|RZaadb|2826
gnl|RZaadb|2827|WP_016734298.1	WP_016734298.1	gnl|RZaadb|2827
gnl|RZaadb|2829|WP_016734300.1	WP_016734300.1	gnl|RZaadb|2829
gnl|RZaadb|284|WP_004673564.1	WP_004673564.1	gnl|RZaadb|284
gnl|RZaadb|2851|WP_016734327.1	WP_016734327.1	gnl|RZaadb|2851
gnl|RZaadb|2857|WP_016734334.1	WP_016734334.1	gnl|RZaadb|2857
gnl|RZaadb|2860|WP_016734338.1	WP_016734338.1	gnl|RZaadb|2860
gnl|RZaadb|2862|WP_016734340.1	WP_016734340.1	gnl|RZaadb|2862
gnl|RZaadb|2863|WP_016734342.1	WP_016734342.1	gnl|RZaadb|2863
gnl|RZaadb|2876|WP_016734361.1	WP_016734361.1	gnl|RZaadb|2876
gnl|RZaadb|287|WP_004673652.1	WP_004673652.1	gnl|RZaadb|287
gnl|RZaadb|2890|WP_016734376.1	WP_016734376.1	gnl|RZaadb|2890
gnl|RZaadb|2897|WP_016734385.1	WP_016734385.1	gnl|RZaadb|2897
gnl|RZaadb|2902|WP_016734391.1	WP_016734391.1	gnl|RZaadb|2902
gnl|RZaadb|2904|WP_016734396.1	WP_016734396.1	gnl|RZaadb|2904
gnl|RZaadb|2906|WP_016734398.1	WP_016734398.1	gnl|RZaadb|2906
gnl|RZaadb|2910|WP_016734404.1	WP_016734404.1	gnl|RZaadb|2910
gnl|RZaadb|2913|WP_016734407.1	WP_016734407.1	gnl|RZaadb|2913
gnl|RZaadb|2914|WP_016734409.1	WP_016734409.1	gnl|RZaadb|2914
gnl|RZaadb|2918|WP_016734413.1	WP_016734413.1	gnl|RZaadb|2918
gnl|RZaadb|2919|WP_016734414.1	WP_016734414.1	gnl|RZaadb|2919
gnl|RZaadb|291|WP_004673738.1	WP_004673738.1	gnl|RZaadb|291
gnl|RZaadb|2924|WP_016734419.1	WP_016734419.1	gnl|RZaadb|2924
gnl|RZaadb|2961|WP_016734462.1	WP_016734462.1	gnl|RZaadb|2961
gnl|RZaadb|2962|WP_016734463.1	WP_016734463.1	gnl|RZaadb|2962
gnl|RZaadb|2963|WP_016734464.1	WP_016734464.1	gnl|RZaadb|2963
gnl|RZaadb|2971|WP_016734479.1	WP_016734479.1	gnl|RZaadb|2971
gnl|RZaadb|297|WP_004673775.1	WP_004673775.1	gnl|RZaadb|297
gnl|RZaadb|298|WP_004673778.1	WP_004673778.1	gnl|RZaadb|298
gnl|RZaadb|29|WP_003566413.1	WP_003566413.1	gnl|RZaadb|29
gnl|RZaadb|2|WP_003539626.1	WP_003539626.1	gnl|RZaadb|2
gnl|RZaadb|3017|WP_016734546.1	WP_016734546.1	gnl|RZaadb|3017
gnl|RZaadb|3019|WP_016734548.1	WP_016734548.1	gnl|RZaadb|3019
gnl|RZaadb|301|WP_004673785.1	WP_004673785.1	gnl|RZaadb|301
gnl|RZaadb|3021|WP_016734552.1	WP_016734552.1	gnl|RZaadb|3021
gnl|RZaadb|3030|WP_016734566.1	WP_016734566.1	gnl|RZaadb|3030
gnl|RZaadb|3036|WP_016734576.1	WP_016734576.1	gnl|RZaadb|3036
gnl|RZaadb|3043|WP_016734584.1	WP_016734584.1	gnl|RZaadb|3043
gnl|RZaadb|3046|WP_016734587.1	WP_016734587.1	gnl|RZaadb|3046
gnl|RZaadb|3048|WP_016734590.1	WP_016734590.1	gnl|RZaadb|3048
gnl|RZaadb|3050|WP_016734593.1	WP_016734593.1	gnl|RZaadb|3050
gnl|RZaadb|3058|WP_016734605.1	WP_016734605.1	gnl|RZaadb|3058
gnl|RZaadb|305|WP_004673821.1	WP_004673821.1	gnl|RZaadb|305
gnl|RZaadb|3066|WP_016734613.1	WP_016734613.1	gnl|RZaadb|3066
gnl|RZaadb|3075|WP_016734630.1	WP_016734630.1	gnl|RZaadb|3075
gnl|RZaadb|3076|WP_016734631.1	WP_016734631.1	gnl|RZaadb|3076
gnl|RZaadb|3079|WP_016734634.1	WP_016734634.1	gnl|RZaadb|3079
gnl|RZaadb|3080|WP_016734635.1	WP_016734635.1	gnl|RZaadb|3080
gnl|RZaadb|3081|WP_016734636.1	WP_016734636.1	gnl|RZaadb|3081
gnl|RZaadb|3083|WP_016734639.1	WP_016734639.1	gnl|RZaadb|3083
gnl|RZaadb|3084|WP_016734641.1	WP_016734641.1	gnl|RZaadb|3084
gnl|RZaadb|3087|WP_016734645.1	WP_016734645.1	gnl|RZaadb|3087
gnl|RZaadb|3088|WP_016734646.1	WP_016734646.1	gnl|RZaadb|3088
gnl|RZaadb|3091|WP_016734650.1	WP_016734650.1	gnl|RZaadb|3091
gnl|RZaadb|3094|WP_016734656.1	WP_016734656.1	gnl|RZaadb|3094
gnl|RZaadb|3096|WP_016734658.1	WP_016734658.1	gnl|RZaadb|3096
gnl|RZaadb|3097|WP_016734659.1	WP_016734659.1	gnl|RZaadb|3097
gnl|RZaadb|3101|WP_016734663.1	WP_016734663.1	gnl|RZaadb|3101
gnl|RZaadb|3102|WP_016734667.1	WP_016734667.1	gnl|RZaadb|3102
gnl|RZaadb|3105|WP_016734670.1	WP_016734670.1	gnl|RZaadb|3105
gnl|RZaadb|3106|WP_016734671.1	WP_016734671.1	gnl|RZaadb|3106
gnl|RZaadb|3107|WP_016734672.1	WP_016734672.1	gnl|RZaadb|3107
gnl|RZaadb|3108|WP_016734675.1	WP_016734675.1	gnl|RZaadb|3108
gnl|RZaadb|3109|WP_016734678.1	WP_016734678.1	gnl|RZaadb|3109
gnl|RZaadb|310|WP_004673840.1	WP_004673840.1	gnl|RZaadb|310
gnl|RZaadb|3115|WP_016734686.1	WP_016734686.1	gnl|RZaadb|3115
gnl|RZaadb|3118|WP_016734689.1	WP_016734689.1	gnl|RZaadb|3118
gnl|RZaadb|3119|WP_016734690.1	WP_016734690.1	gnl|RZaadb|3119
gnl|RZaadb|311|WP_004673860.1	WP_004673860.1	gnl|RZaadb|311
gnl|RZaadb|3120|WP_016734691.1	WP_016734691.1	gnl|RZaadb|3120
gnl|RZaadb|3131|WP_016734704.1	WP_016734704.1	gnl|RZaadb|3131
gnl|RZaadb|3132|WP_016734705.1	WP_016734705.1	gnl|RZaadb|3132
gnl|RZaadb|3136|WP_016734709.1	WP_016734709.1	gnl|RZaadb|3136
gnl|RZaadb|313|WP_004673867.1	WP_004673867.1	gnl|RZaadb|313
gnl|RZaadb|3149|WP_016734722.1	WP_016734722.1	gnl|RZaadb|3149
gnl|RZaadb|3151|WP_016734725.1	WP_016734725.1	gnl|RZaadb|3151
gnl|RZaadb|3157|WP_016734732.1	WP_016734732.1	gnl|RZaadb|3157
gnl|RZaadb|3158|WP_016734733.1	WP_016734733.1	gnl|RZaadb|3158
gnl|RZaadb|3159|WP_016734734.1	WP_016734734.1	gnl|RZaadb|3159
gnl|RZaadb|3165|WP_016734745.1	WP_016734745.1	gnl|RZaadb|3165
gnl|RZaadb|3166|WP_016734746.1	WP_016734746.1	gnl|RZaadb|3166
gnl|RZaadb|3172|WP_016734755.1	WP_016734755.1	gnl|RZaadb|3172
gnl|RZaadb|3176|WP_016734759.1	WP_016734759.1	gnl|RZaadb|3176
gnl|RZaadb|3187|WP_016734770.1	WP_016734770.1	gnl|RZaadb|3187
gnl|RZaadb|319|WP_004674116.1	WP_004674116.1	gnl|RZaadb|319
gnl|RZaadb|3205|WP_016734791.1	WP_016734791.1	gnl|RZaadb|3205
gnl|RZaadb|3208|WP_016734795.1	WP_016734795.1	gnl|RZaadb|3208
gnl|RZaadb|3210|WP_016734797.1	WP_016734797.1	gnl|RZaadb|3210
gnl|RZaadb|3232|WP_016734824.1	WP_016734824.1	gnl|RZaadb|3232
gnl|RZaadb|323|WP_004674139.1	WP_004674139.1	gnl|RZaadb|323
gnl|RZaadb|3240|WP_016734833.1	WP_016734833.1	gnl|RZaadb|3240
gnl|RZaadb|3242|WP_016734835.1	WP_016734835.1	gnl|RZaadb|3242
gnl|RZaadb|3247|WP_016734843.1	WP_016734843.1	gnl|RZaadb|3247
gnl|RZaadb|324|WP_004674150.1	WP_004674150.1	gnl|RZaadb|324
gnl|RZaadb|3250|WP_016734848.1	WP_016734848.1	gnl|RZaadb|3250
gnl|RZaadb|3253|WP_016734852.1	WP_016734852.1	gnl|RZaadb|3253
gnl|RZaadb|325|WP_004674197.1	WP_004674197.1	gnl|RZaadb|325
gnl|RZaadb|3261|WP_016734863.1	WP_016734863.1	gnl|RZaadb|3261
gnl|RZaadb|3262|WP_016734864.1	WP_016734864.1	gnl|RZaadb|3262
gnl|RZaadb|3268|WP_016734874.1	WP_016734874.1	gnl|RZaadb|3268
gnl|RZaadb|3276|WP_016734883.1	WP_016734883.1	gnl|RZaadb|3276
gnl|RZaadb|3277|WP_016734884.1	WP_016734884.1	gnl|RZaadb|3277
gnl|RZaadb|3278|WP_016734886.1	WP_016734886.1	gnl|RZaadb|3278
gnl|RZaadb|3281|WP_016734889.1	WP_016734889.1	gnl|RZaadb|3281
gnl|RZaadb|3282|WP_016734890.1	WP_016734890.1	gnl|RZaadb|3282
gnl|RZaadb|3284|WP_016734892.1	WP_016734892.1	gnl|RZaadb|3284
gnl|RZaadb|3288|WP_016734896.1	WP_016734896.1	gnl|RZaadb|3288
gnl|RZaadb|3289|WP_016734897.1	WP_016734897.1	gnl|RZaadb|3289
gnl|RZaadb|3290|WP_016734898.1	WP_016734898.1	gnl|RZaadb|3290
gnl|RZaadb|3292|WP_016734900.1	WP_016734900.1	gnl|RZaadb|3292
gnl|RZaadb|3295|WP_016734903.1	WP_016734903.1	gnl|RZaadb|3295
gnl|RZaadb|3296|WP_016734904.1	WP_016734904.1	gnl|RZaadb|3296
gnl|RZaadb|3315|WP_016734930.1	WP_016734930.1	gnl|RZaadb|3315
gnl|RZaadb|3319|WP_016734937.1	WP_016734937.1	gnl|RZaadb|3319
gnl|RZaadb|3322|WP_016734945.1	WP_016734945.1	gnl|RZaadb|3322
gnl|RZaadb|3323|WP_016734946.1	WP_016734946.1	gnl|RZaadb|3323
gnl|RZaadb|3324|WP_016734947.1	WP_016734947.1	gnl|RZaadb|3324
gnl|RZaadb|3331|WP_016734957.1	WP_016734957.1	gnl|RZaadb|3331
gnl|RZaadb|3335|WP_016734963.1	WP_016734963.1	gnl|RZaadb|3335
gnl|RZaadb|3336|WP_016734964.1	WP_016734964.1	gnl|RZaadb|3336
gnl|RZaadb|3340|WP_016734968.1	WP_016734968.1	gnl|RZaadb|3340
gnl|RZaadb|3342|WP_016734970.1	WP_016734970.1	gnl|RZaadb|3342
gnl|RZaadb|3343|WP_016734971.1	WP_016734971.1	gnl|RZaadb|3343
gnl|RZaadb|3345|WP_016734974.1	WP_016734974.1	gnl|RZaadb|3345
gnl|RZaadb|3346|WP_016734976.1	WP_016734976.1	gnl|RZaadb|3346
gnl|RZaadb|3349|WP_016734980.1	WP_016734980.1	gnl|RZaadb|3349
gnl|RZaadb|3350|WP_016734981.1	WP_016734981.1	gnl|RZaadb|3350
gnl|RZaadb|3353|WP_016734984.1	WP_016734984.1	gnl|RZaadb|3353
gnl|RZaadb|3354|WP_016734985.1	WP_016734985.1	gnl|RZaadb|3354
gnl|RZaadb|3356|WP_016734987.1	WP_016734987.1	gnl|RZaadb|3356
gnl|RZaadb|3357|WP_016734988.1	WP_016734988.1	gnl|RZaadb|3357
gnl|RZaadb|3358|WP_016734989.1	WP_016734989.1	gnl|RZaadb|3358
gnl|RZaadb|3366|WP_016734998.1	WP_016734998.1	gnl|RZaadb|3366
gnl|RZaadb|3368|WP_016735000.1	WP_016735000.1	gnl|RZaadb|3368
gnl|RZaadb|3371|WP_016735006.1	WP_016735006.1	gnl|RZaadb|3371
gnl|RZaadb|3372|WP_016735007.1	WP_016735007.1	gnl|RZaadb|3372
gnl|RZaadb|3376|WP_016735011.1	WP_016735011.1	gnl|RZaadb|3376
gnl|RZaadb|3377|WP_016735013.1	WP_016735013.1	gnl|RZaadb|3377
gnl|RZaadb|3378|WP_016735014.1	WP_016735014.1	gnl|RZaadb|3378
gnl|RZaadb|3380|WP_016735016.1	WP_016735016.1	gnl|RZaadb|3380
gnl|RZaadb|3383|WP_016735019.1	WP_016735019.1	gnl|RZaadb|3383
gnl|RZaadb|3386|WP_016735023.1	WP_016735023.1	gnl|RZaadb|3386
gnl|RZaadb|3394|WP_016735033.1	WP_016735033.1	gnl|RZaadb|3394
gnl|RZaadb|3399|WP_016735038.1	WP_016735038.1	gnl|RZaadb|3399
gnl|RZaadb|3403|WP_016735044.1	WP_016735044.1	gnl|RZaadb|3403
gnl|RZaadb|3404|WP_016735045.1	WP_016735045.1	gnl|RZaadb|3404
gnl|RZaadb|3409|WP_016735050.1	WP_016735050.1	gnl|RZaadb|3409
gnl|RZaadb|3410|WP_016735051.1	WP_016735051.1	gnl|RZaadb|3410
gnl|RZaadb|3411|WP_016735052.1	WP_016735052.1	gnl|RZaadb|3411
gnl|RZaadb|3415|WP_016735057.1	WP_016735057.1	gnl|RZaadb|3415
gnl|RZaadb|3421|WP_016735063.1	WP_016735063.1	gnl|RZaadb|3421
gnl|RZaadb|3422|WP_016735064.1	WP_016735064.1	gnl|RZaadb|3422
gnl|RZaadb|3425|WP_016735068.1	WP_016735068.1	gnl|RZaadb|3425
gnl|RZaadb|3431|WP_016735074.1	WP_016735074.1	gnl|RZaadb|3431
gnl|RZaadb|3433|WP_016735076.1	WP_016735076.1	gnl|RZaadb|3433
gnl|RZaadb|3442|WP_016735088.1	WP_016735088.1	gnl|RZaadb|3442
gnl|RZaadb|3445|WP_016735092.1	WP_016735092.1	gnl|RZaadb|3445
gnl|RZaadb|3450|WP_016735099.1	WP_016735099.1	gnl|RZaadb|3450
gnl|RZaadb|3451|WP_016735101.1	WP_016735101.1	gnl|RZaadb|3451
gnl|RZaadb|3452|WP_016735102.1	WP_016735102.1	gnl|RZaadb|3452
gnl|RZaadb|3458|WP_016735110.1	WP_016735110.1	gnl|RZaadb|3458
gnl|RZaadb|3459|WP_016735111.1	WP_016735111.1	gnl|RZaadb|3459
