ProteinID	Locus_tag	NCBI_name	Regulondb_name	Abasy_name	Ecocyc_name	Synonyms	RegulondbID	EC_product
NP_415858.1	b1342	zntB	zntB	NA	zntB	ydaN	ECK120003269	Zn(2(+)):H(+) symporter
NP_415859.1	b1343	dbpA	dbpA	NA	dbpA	rhlC	ECK120000204	ATP-dependent RNA helicase DbpA
NP_415860.1	b1344	ttcA	ttcA	NA	ttcA	ydaO	ECK120003270	tRNA cytosine(32) 2-sulfurtransferase TtcA
NP_415861.1	b1345	intR	intR	NA	intR	ydaP	ECK120003271	Rac prophage; putative integrase
NP_415862.4	b1346	xisR	xisR	NA	xisR	ydaQ	ECK120003272	Rac prophage; excisionase
NP_415863.1	b1347	rcbA	rcbA	NA	rcbA	ydaC	ECK120001830	Rac prophage; double-strand break reduction protein
NP_415864.1	b1348	ralR	ralR	NA	ralR	ydaB // lar	ECK120001829	Rac prophage; endodeoxyribonuclease toxin RalR
NP_415865.1	b1349	recT	recT	NA	recT		ECK120001828	Rac prophage; recombinase RecT
NP_415866.1	b1350	recE	recE	NA	recE	rmuB // rac // sbcA	ECK120000818	Rac prophage; exonuclease VIII
NP_415867.1	b1351	racC	racC	NA	racC	sbcA	ECK120000804	Rac prophage; protein RacC
NP_415869.2	b1352	kilR	kilR	NA	kilR	ydaD // kil	ECK120002054	Rac prophage; inhibitor of FtsZ
NP_415870.4	b1353	sieB	sieB	NA	sieB		ECK120002053	Rac prophage; phage superinfection exclusion protein
NP_415873.2	b1355	ydaG	ydaG	NA	ydaG	gatA	ECK120003274	Rac prophage; uncharacterized protein YdaG
NP_415874.1	b1356	racR	racR	NA	racR	rarC // ydaR	ECK120003275	Rac prophage; DNA-binding transcriptional repressor RacR
NP_415875.1	b1357	ydaS	ydaS	NA	ydaS		ECK120003276	Rac prophage; toxin YdaS
NP_415876.1	b1358	ydaT	ydaT	NA	ydaT		ECK120003277	Rac prophage; protein YdaT
NP_415877.1	b1359	ydaU	ydaU	NA	ydaU		ECK120003278	Rac prophage; DUF1376 domain-containing protein YdaU
NP_415878.1	b1360	ydaV	ydaV	NA	ydaV		ECK120003279	Rac prophage; putative ATP-binding protein YdaV
YP_009518776.1	b1361	ydaW	ydaW	NA	ydaW		ECK120003280	Rac prophage; putative uncharacterized protein YdaW
NP_415881.1	b1363	trkG	trkG	NA	trkG		ECK120001009	Rac prophage; K(+) transporter TrkG
NP_415883.1	b1365	ynaK	ynaK	NA	ynaK		ECK120003283	Rac prophage; ParB-like nuclease domain-containing protein YnaK
YP_009518777.1	b1366	ydaY	ydaY	NA	ydaY		ECK120003284	Rac prophage; putative uncharacterized protein YdaY
YP_009518778.1	b1368	ynaA	ynaA	NA	ynaA	tmpR	ECK120003286	Rac prophage; putative prophage tail length tape measure domain-containing protein YnaA
NP_415888.1	b1370	insH5	insH5	NA	insH5	yi52_5 // trs5-5	ECK120003288	Rac prophage; IS5 transposase and trans-activator
NP_415890.2	b1372	stfR	stfR	NA	stfR	ynaB	ECK120003290	Rac prophage; putative prophage side tail fiber protein StfR
NP_415891.1	b1373	tfaR	tfaR	NA	tfaR	ynaC	ECK120003291	Rac prophage; putative tail fiber assembly protein TfaR
NP_415892.1	b1374	pinR	pinR	NA	pinR	ynaD	ECK120003292	Rac prophage; putative site-specific recombinase
NP_415893.2	b1375	ynaE	ynaE	NA	ynaE		ECK120003293	Rac prophage; uncharacterized protein YnaE
NP_415894.4	b1376	uspF	uspF	NA	uspF	yzzL // ynaF // UP03	ECK120003294	nucleotide binding filament protein
NP_415895.1	b1377	ompN	ompN	ompN	ompN	ynaG	ECK120003295	outer membrane porin N
NP_415896.1	b1378	ydbK	ydbK	ydbK	ydbK	pfo	ECK120003296	putative pyruvate-flavodoxin oxidoreductase
NP_415897.1	b1379	hslJ	hslJ	hslJ	hslJ	ydbI	ECK120003297	lipoprotein implicated in Novobiocin resistance
NP_415898.1	b1380	ldhA	ldhA	ldhA	ldhA	htpH // hslF // hslI	ECK120002700	D-lactate dehydrogenase
NP_415899.1	b1381	ydbH	ydbH	NA	ydbH		ECK120003298	PF11739 family protein YdbH
NP_415900.1	b1382	ynbE	ynbE	NA	ynbE		ECK120003299	lipoprotein YnbE
NP_415901.2	b1383	ydbL	ydbL	NA	ydbL		ECK120003300	DUF1318 domain-containing protein YdbL
NP_415902.1	b1384	feaR	feaR	feaR	feaR	ydbM // maoX // maoB	ECK120003301	DNA-binding transcriptional activator FeaR
NP_415903.4	b1385	feaB	feaB	feaB	feaB	ydbG // padA	ECK120004448	phenylacetaldehyde dehydrogenase
NP_415904.3	b1386	tynA	tynA	tynA	tynA	feaA // maoA	ECK120002427	copper-containing amine oxidase
NP_415905.1	b1387	paaZ	paaZ	paaZ	paaZ	ydbN // maoC	ECK120003302	fused 3-oxo-5
NP_415906.1	b1388	paaA	paaA	paaA	paaA	ydbO	ECK120003303	phenylacetyl-CoA 1
NP_415907.1	b1389	paaB	paaB	paaB	paaB	ynbF	ECK120003304	phenylacetyl-CoA 1
NP_415908.1	b1390	paaC	paaC	paaC	paaC	ydbP	ECK120003305	phenylacetyl-CoA 1
NP_415909.4	b1391	paaD	paaD	paaD	paaD	ydbQ	ECK120003306	phenylacetate degradation protein
NP_415910.1	b1392	paaE	paaE	paaE	paaE	ydbR	ECK120003307	phenylacetyl-CoA 1
NP_415911.1	b1393	paaF	paaF	paaF	paaF	ydbR // ydbS	ECK120003308	putative 2
NP_415912.1	b1394	paaG	paaG	paaG	paaG	ydbT	ECK120003309	putative ring 1
NP_415913.1	b1395	paaH	paaH	paaH	paaH	hbdH // ydbU	ECK120003310	3-hydroxyadipyl-CoA dehydrogenase
NP_415914.1	b1396	paaI	paaI	paaI	paaI	ydbV	ECK120003311	phenylacetyl-CoA thioesterase
NP_415915.1	b1397	paaJ	paaJ	paaJ	paaJ	ydbW	ECK120003312	beta-ketoadipyl-CoA thiolase
NP_415916.1	b1398	paaK	paaK	paaK	paaK		ECK120003313	phenylacetate-CoA ligase
NP_415917.1	b1399	paaX	paaX	paaX	paaX	ydbY	ECK120003314	DNA-binding transcriptional repressor PaaX
NP_415918.1	b1400	paaY	paaY	paaY	paaY	ydbZ	ECK120003315	2-hydroxycyclohepta-1
NP_415920.1	b1402	insD2	insD2	NA	insD2	yi22-2	ECK120003317	IS2 insertion element protein InsB
NP_415921.2	b1403	insC2	insC2	NA	insC2	yi21-2	ECK120003318	IS2 insertion element repressor InsA
NP_415922.1	b1404	insI2	insI2	NA	insI2	tra8-2	ECK120003319	IS30 transposase
NP_415924.1	b1406	pdxI	pdxI	NA	pdxI	ydbC	ECK120001280	pyridoxine 4-dehydrogenase
NP_415925.2	b1407	ydbD	ydbD	NA	ydbD		ECK120001281	DUF2773 domain-containing protein YdbD
NP_415926.4	b1408	ynbA	ynbA	NA	ynbA		ECK120003320	CDP-alcohol phosphatidyltransferase domain-containing protein YnbA
NP_415927.1	b1409	ynbB	ynbB	NA	ynbB		ECK120003321	putative CDP-diglyceride synthase
NP_415928.1	b1410	ynbC	ynbC	NA	ynbC		ECK120003322	hydrolase/methyltransferase domain-containing protein YnbC
NP_415929.1	b1411	ynbD	ynbD	NA	ynbD		ECK120003323	phosphatase domain-containing protein YnbD
NP_415930.1	b1412	azoR	azoR	azoR	azoR	acpD	ECK120003324	FMN dependent NADH:quinone oxidoreductase
NP_415931.4	b1413	hrpA	hrpA	NA	hrpA		ECK120003325	ATP-dependent RNA helicase HrpA
NP_415932.1	b1414	ydcF	ydcF	NA	ydcF		ECK120002014	DUF218 domain-containing protein YdcF
NP_415933.1	b1415	aldA	aldA	aldA	aldA	ald	ECK120000032	aldehyde dehydrogenase A
NP_415935.2	b1418	cybB	cybB	NA	cybB		ECK120000167	superoxide oxidase
NP_415936.1	b1419	ydcA	ydcA	NA	ydcA		ECK120001198	protein YdcA
NP_415937.1	b1420	mokB	mokB	NA	mokB		ECK120003326	putative regulatory protein MokB
NP_415938.1	b1421	trg	trg	trg	trg		ECK120001007	methyl-accepting chemotaxis protein Trg
NP_415939.2	b1422	ydcI	ydcI	NA	ydcI		ECK120003327	DNA-binding transcriptional dual regulator YdcI
NP_415940.1	b1423	ydcJ	ydcJ	NA	ydcJ		ECK120003328	DUF1338 domain-containing protein YdcJ
NP_415941.5	b1424	opgD	opgD	NA	opgD	yzzZ // ydcG // mdoD	ECK120002405	glucan biosynthesis protein D
NP_415943.4	b1426	ydcH	ydcH	NA	ydcH		ECK120002408	protein YdcH
NP_415944.1	b1427	rimL	rimL	NA	rimL		ECK120000844	ribosomal-protein-L12-serine N-acetyltransferase
NP_415945.1	b1428	ydcK	ydcK	NA	ydcK		ECK120003330	putative enzyme YdcK
NP_415946.1	b1429	tehA	tehA	NA	tehA		ECK120001813	tellurite resistance protein
NP_415947.1	b1430	tehB	tehB	NA	tehB		ECK120001814	tellurite methyltransferase
NP_415948.1	b1431	ydcL	ydcL	NA	ydcL		ECK120003331	DUF3313 domain-containing lipoprotein YdcL
NP_415949.2	b1432	insQ	insQ	NA	insQ	ydcM	ECK120003332	putative insertion element transposase InsQ
NP_415950.4	b1433	ydcO	ydcO	NA	ydcO		ECK120003333	putative transport protein YdcO
NP_415951.1	b1434	sutR	sutR	NA	sutR	ydcN	ECK120003334	DNA-binding transcriptional dual regulator SutR
NP_415952.2	b1435	rlhA	rlhA	NA	rlhA	ydcP	ECK120003335	23S rRNA 5-hydroxycytidine C2501 synthase
NP_415953.1	b1436	yncJ	yncJ	NA	yncJ		ECK120003336	protein YncJ
NP_415955.2	b1438	hicB	hicB	hicB	hicB	ydcQ	ECK120003338	antitoxin of the HicA-HicB toxin-antitoxin system/ DNA-binding transcriptional repressor HicB
NP_415956.1	b1439	ydcR	ydcR	NA	ydcR		ECK120003339	fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR
NP_415957.1	b1440	ydcS	ydcS	ydcS	ydcS		ECK120003340	putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase
NP_415958.1	b1441	ydcT	ydcT	ydcT	ydcT		ECK120003341	putative ABC transporter ATP-binding protein YdcT
NP_415959.1	b1442	ydcU	ydcU	ydcU	ydcU		ECK120003342	putative ABC transporter membrane subunit YdcU
NP_415960.1	b1443	ydcV	ydcV	ydcV	ydcV		ECK120003343	putative ABC transporter membrane subunit YdcV
NP_415961.1	b1444	patD	patD	patD	patD	prr // ydcW	ECK120003344	gamma-aminobutyraldehyde dehydrogenase
NP_415962.2	b1445	ortT	ortT	NA	ortT	ydcX	ECK120003345	orphan toxin OrtT
NP_415963.1	b1446	ydcY	ydcY	NA	ydcY		ECK120003346	DUF2526 domain-containing protein YdcY
NP_415964.1	b1447	ydcZ	ydcZ	NA	ydcZ		ECK120003347	putative inner membrane protein YdcZ
NP_415965.1	b1448	mnaT	mnaT	NA	mnaT	yncA	ECK120003348	L-amino acid N-acyltransferase
NP_415966.6	b1449	curA	curA	NA	curA	yncB	ECK120003349	NADPH-dependent curcumin/dihydrocurcumin reductase
NP_415967.2	b1450	mcbR	mcbR	mcbR	mcbR	yncC	ECK120003350	DNA-binding transcriptional dual regulator McbR
NP_415968.1	b1451	yncD	yncD	NA	yncD		ECK120003351	putative TonB-dependent outer membrane receptor
NP_415969.1	b1452	yncE	yncE	NA	yncE		ECK120003352	PQQ-like domain-containing protein YncE
NP_415970.4	b1453	ansP	ansP	ansP	ansP	yncF	ECK120003353	L-asparagine transporter
NP_415971.1	b1454	yncG	yncG	NA	yncG		ECK120003354	putative glutathione S-transferase YncG
NP_415972.1	b1455	yncH	yncH	NA	yncH		ECK120003355	DUF5445 domain-containing protein YncH
NP_415974.1	b1457	ydcD	ydcD	NA	ydcD		ECK120001696	uncharacterized protein YdcD
NP_415977.1	b1460	ydcC	ydcC	NA	ydcC		ECK120001480	H repeat-associated putative transposase YdcC
NP_415978.1	b1461	pptA	pptA	NA	pptA	ydcE	ECK120001697	tautomerase PptA
NP_415979.2	b1462	yddH	yddH	NA	yddH		ECK120003358	flavin reductase-like protein YddH
NP_415980.1	b1463	nhoA	nhoA	NA	nhoA	yddI	ECK120003359	arylamine N-acetyltransferase
NP_415981.1	b1464	yddE	yddE	NA	yddE		ECK120001757	PF02567 family protein YddE
NP_415982.1	b1465	narV	narV	narV	narV	chlZ	ECK120000637	nitrate reductase Z subunit gamma
NP_415983.1	b1466	narW	narW	narW	narW	chlZ	ECK120000638	NarW
NP_415984.1	b1467	narY	narY	NA	narY	chlZ	ECK120000640	nitrate reductase Z subunit beta
NP_415985.1	b1468	narZ	narZ	NA	narZ	chlZ	ECK120000641	nitrate reductase Z subunit alpha
NP_415986.1	b1469	narU	narU	NA	narU	yddF	ECK120002052	nitrate/nitrite transporter NarU
YP_009518781.1	b1471	yddK	yddK	NA	yddK		ECK120003361	leucine-rich repeat domain-containing protein YddK
YP_009518782.1	b1472	yddL	yddL	NA	yddL		ECK120003362	putative uncharacterized protein YddL
NP_415990.5	b1473	yddG	yddG	yddG	yddG		ECK120002370	amino acid exporter YddG
NP_415991.1	b1474	fdnG	fdnG	fdnG	fdnG		ECK120001205	formate dehydrogenase N subunit alpha
NP_415992.1	b1475	fdnH	fdnH	fdnH	fdnH		ECK120001206	formate dehydrogenase N subunit beta
NP_415993.1	b1476	fdnI	fdnI	fdnI	fdnI		ECK120001207	formate dehydrogenase N subunit gamma
NP_415994.4	b1477	yddM	yddM	NA	yddM		ECK120003363	DNA-binding transcriptional regulator YddM
NP_415995.4	b1478	adhP	adhP	NA	adhP	yddN	ECK120003364	ethanol dehydrogenase/alcohol dehydrogenase
NP_415996.2	b1479	maeA	maeA	NA	maeA	sfcA	ECK120000937	NAD(+)-dependent malate dehydrogenase
NP_415997.1	b1480	sra	sra	sra	sra	rpsV	ECK120001464	30S ribosomal subunit protein S22
NP_415998.4	b1481	bdm	bdm	bdm	bdm	yddX	ECK120003365	biofilm-dependent modulation protein
NP_415999.1	b1482	osmC	osmC	osmC	osmC		ECK120000673	osmotically inducible peroxiredoxin OsmC
NP_416000.1	b1483	ddpF	ddpF	NA	ddpF	yddO	ECK120003366	putative D
NP_416001.1	b1484	ddpD	ddpD	NA	ddpD	yddP	ECK120003367	putative D
NP_416002.1	b1485	ddpC	ddpC	NA	ddpC	yddQ	ECK120003368	putative D
NP_416003.1	b1486	ddpB	ddpB	NA	ddpB	yddR	ECK120003369	putative D
NP_416004.1	b1487	ddpA	ddpA	NA	ddpA	yddS	ECK120003370	putative D
NP_416005.1	b1488	ddpX	ddpX	NA	ddpX	vanX // yddT	ECK120003371	D-alanyl-D-alanine dipeptidase
NP_416006.4	b1489	dosP	dosP	NA	dosP	yddU // dos // pdeO	ECK120003372	oxygen-sensing c-di-GMP phosphodiesterase DosP
NP_416007.3	b1490	dosC	dosC	NA	dosC	yddV // dgcO	ECK120003373	diguanylate cyclase DosC
NP_416008.1	b1491	digH	yddW	NA	digH	yddW	ECK120003374	divisome localized glycosyl hydrolase
NP_416009.1	b1492	gadC	gadC	gadC	gadC	acsA // xasA	ECK120003375	L-glutamate:4-aminobutyrate antiporter
NP_416010.1	b1493	gadB	gadB	gadB	gadB		ECK120001446	glutamate decarboxylase B
NP_416011.1	b1494	pqqL	pqqL	NA	pqqL	pqqM // pqqE // yddC	ECK120001683	periplasmic metalloprotease
NP_416012.1	b1495	yddB	yddB	NA	yddB		ECK120001682	putative TonB-dependent receptor YddB
NP_416013.1	b1496	yddA	yddA	NA	yddA		ECK120001681	ABC transporter family protein YddA
NP_416014.4	b1497	ydeM	ydeM	ydeM	ydeM		ECK120003376	putative anaerobic sulfatase maturation enzyme YdeM
NP_416015.2	b1498	ydeN	ydeN	ydeN	ydeN		ECK120003377	putative sulfatase YdeN
NP_416016.1	b1499	ydeO	ydeO	ydeO	ydeO		ECK120003378	DNA-binding transcriptional dual regulator YdeO
NP_416017.1	b1500	safA	safA	safA	safA	yneN	ECK120003379	two-component system connector SafA
NP_416018.1	b1501	ydeP	ydeP	ydeP	ydeP		ECK120003380	putative oxidoreductase YdeP
NP_416019.1	b1502	ydeQ	ydeQ	NA	ydeQ		ECK120003381	putative fimbrial adhesin protein YdeQ
NP_416020.1	b1503	ydeR	ydeR	NA	ydeR		ECK120003382	putative fimbrial protein YdeR
NP_416021.1	b1504	ydeS	ydeS	NA	ydeS		ECK120003383	putative fimbrial protein YdeS
YP_009518785.1	b1505	ydeT	ydeT	NA	ydeT	fmlC	ECK120003384	fimbrial usher domain-containing protein YdeT
NP_416024.1	b1507	hipA	hipA	hipA	hipA		ECK120000436	serine/threonine-protein kinase toxin HipA
NP_416025.1	b1508	hipB	hipB	hipB	hipB		ECK120000435	antitoxin/DNA-binding transcriptional repressor HipB
NP_416028.3	b1511	lsrK	lsrK	lsrK	lsrK	ydeV	ECK120003387	autoinducer-2 kinase
NP_416029.1	b1512	lsrR	lsrR	lsrR	lsrR	ydeW	ECK120003388	DNA-binding transcriptional repressor LsrR
NP_416030.1	b1513	lsrA	lsrA	lsrA	lsrA	ego // ydeX	ECK120003389	Autoinducer-2 ABC transporter ATP binding subunit
NP_416031.1	b1514	lsrC	lsrC	lsrC	lsrC	ydeY	ECK120003390	Autoinducer-2 ABC transporter membrane subunit LsrC
NP_416032.1	b1515	lsrD	lsrD	lsrD	lsrD	ydeZ	ECK120003391	Autoinducer-2 ABC transporter membrane subunit LsrD
NP_416033.1	b1516	lsrB	lsrB	lsrB	lsrB	yneA	ECK120003392	Autoinducer-2 ABC transporter periplasmic binding protein
NP_416034.1	b1517	lsrF	lsrF	lsrF	lsrF	yneB	ECK120003393	3-hydroxy-2
NP_416035.1	b1518	lsrG	lsrG	lsrG	lsrG	yneC	ECK120003394	(4S)-4-hydroxy-5-phosphonooxypentane-2
NP_416036.1	b1519	tam	tam	tam	tam	yneD // lsrE	ECK120003395	trans-aconitate 2-methyltransferase
NP_416037.2	b1520	yneE	yneE	NA	yneE		ECK120003396	PF01062 family inner membrane protein YneE
YP_025302.1	b1521	uxaB	uxaB	uxaB	uxaB		ECK120001054	tagaturonate reductase
NP_416039.1	b1522	dgcF	dgcF	NA	dgcF	yneF	ECK120003397	putative diguanylate cyclase DgcF
NP_416040.1	b1523	yneG	yneG	NA	yneG		ECK120003398	DUF4186 domain-containing protein YneG
NP_416041.1	b1524	glsB	glsB	NA	glsB	yneH	ECK120003399	glutaminase 2
NP_416042.2	b1525	sad	sad	NA	sad	yneI	ECK120003400	succinate semialdehyde dehydrogenase (NAD(P)(+)) Sad
NP_416043.1	b1526	yneJ	yneJ	NA	yneJ		ECK120003401	putative LysR-type DNA-binding transcriptional regulator YneJ
NP_416044.1	b1527	yneK	yneK	NA	yneK		ECK120003402	protein YneK
NP_416045.1	b1528	ydeA	ydeA	NA	ydeA		ECK120001583	L-arabinose exporter
NP_416046.1	b1529	marC	marC	NA	marC	ydeC // ydeB	ECK120001584	inner membrane protein MarC
NP_416047.4	b1530	marR	marR	marR	marR	cfxB // inaR // soxQ	ECK120001399	DNA-binding transcriptional repressor MarR
NP_416048.2	b1531	marA	marA	marA	marA	norB // inaR // cfxB // nfxC // soxQ	ECK120001398	DNA-binding transcriptional dual regulator MarA
NP_416049.1	b1532	marB	marB	marB	marB		ECK120001547	multiple antibiotic resistance protein MarB
NP_416050.4	b1533	eamA	eamA	NA	eamA	ydeD	ECK120001585	cysteine/O-acetylserine exporter EamA
NP_416051.1	b1534	ydeE	ydeE	NA	ydeE	ydeF	ECK120001586	dipeptide exporter
NP_416052.1	b1535	dgcZ	dgcZ	dgcZ	dgcZ	ydeG // ydeH	ECK120001587	diguanylate cyclase DgcZ
NP_416054.1	b1536	ydeI	ydeI	ydeI	ydeI		ECK120001588	BOF family protein YdeI
NP_416055.1	b1537	ydeJ	ydeJ	NA	ydeJ		ECK120001589	PF02464 family protein YdeJ
NP_416056.1	b1538	dcp	dcp	NA	dcp		ECK120000206	peptidyl-dipeptidase Dcp
NP_416057.1	b1539	ydfG	ydfG	NA	ydfG		ECK120002220	3-hydroxy acid dehydrogenase YdfG
NP_416058.1	b1540	ydfH	ydfH	rspR	ydfH		ECK120003403	DNA-binding transcriptional repressor YdfH
NP_416059.1	b1541	ydfZ	ydfZ	NA	ydfZ		ECK120003404	putative selenoprotein YdfZ
NP_416060.1	b1542	ydfI	ydfI	NA	ydfI		ECK120003405	putative oxidoreductase YdfI
YP_009518786.1	b1543	ydfJ	ydfJ	NA	ydfJ	ydfJ_2	ECK120003406	putative transporter YdfJ
NP_416062.2	b1544	ydfK	ydfK	NA	ydfK		ECK120003407	Qin prophage; cold shock protein YdfK
NP_416063.1	b1545	pinQ	pinQ	NA	pinQ	ydfL	ECK120003408	Qin prophage; putative recombinase PinQ
NP_416064.1	b1546	tfaQ	tfaQ	tfaQ	tfaQ	ydfM	ECK120003409	Qin prophage; putative tail fiber assembly protein TfaQ
NP_416065.1	b1547	stfQ	stfQ	ydfN	stfQ	ydfN	ECK120003410	Qin prophage; putative prophage side tail fiber protein StfQ
YP_009518788.1	b1548	nohA	nohA	nohA	nohA	nohQ	ECK120001581	Qin prophage; putative prophage DNA-packaging protein NohA
NP_416067.2	b1549	ydfO	ydfO	NA	ydfO		ECK120003411	Qin prophage; DUF1398 domain-containing protein YdfO
NP_416068.2	b1550	gnsB	gnsB	NA	gnsB	ydfY	ECK120003412	Qin prophage; protein GnsB
NP_416069.2	b1551	ynfN	ynfN	NA	ynfN		ECK120003413	Qin prophage; protein YnfN
NP_416070.1	b1552	cspI	cspI	cspI	cspI	cspJ	ECK120003414	Qin prophage; cold shock-like protein CspI
NP_416071.1	b1553	rzpQ	rzpQ	NA	rzpQ	ydfP	ECK120003415	Qin prophage; DUF2514 domain-containing protein RzpQ
NP_416072.1	b1554	rrrQ	rrrQ	NA	rrrQ	ydfQ	ECK120003416	Qin prophage; putative lysozyme
NP_416073.1	b1555	ydfR	ydfR	NA	ydfR		ECK120003417	Qin prophage; protein YdfR
NP_416074.4	b1556	essQ	essQ	NA	essQ	ydfS	ECK120003418	Qin prophage; putative prophage lysis protein EssQ
NP_416075.1	b1557	cspB	cspB	NA	cspB		ECK120002091	Qin prophage; cold shock-like protein CspB
NP_416076.1	b1558	cspF	cspF	NA	cspF		ECK120002093	Qin prophage; cold shock protein CspF
NP_416077.4	b1559	ydfT	ydfT	NA	ydfT	quuQ	ECK120003419	Qin prophage; putative antitermination protein Q
NP_416078.4	b1560	ydfU	ydfU	NA	ydfU		ECK120003420	Qin prophage; protein YdfU
NP_416079.1	b1561	rem	rem	NA	rem		ECK120001113	Qin prophage; protein Rem
NP_416080.1	b1562	hokD	hokD	hokD	hokD	relF	ECK120001114	Qin prophage; toxic protein HokD
NP_416081.1	b1563	relE	relE	relE	relE		ECK120001115	Qin prophage; mRNA interferase toxin RelE
NP_416082.1	b1564	relB	relB	relB	relB	RC	ECK120000827	Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB
NP_416083.1	b1565	ydfV	ydfV	NA	ydfV		ECK120003421	Qin prophage; protein YdfV
NP_416084.1	b1566	flxA	flxA	NA	flxA		ECK120003422	Qin prophage; protein FlxA
YP_009518792.1	b1567	ydfW	ydfW	ydfW	ydfW	intK	ECK120003423	Qin prophage; uncharacterized protein YdfW
YP_009518793.1	b1568	ydfX	ydfX	ydfX	ydfX		ECK120003424	Qin prophage; uncharacterized protein YdfX
NP_416087.1	b1569	dicC	dicC	dicC	dicC	ftsT	ECK120000222	Qin prophage; DNA-binding transcriptional regulator for DicB
NP_416088.1	b1570	dicA	dicA	dicA	dicA	ftsT	ECK120000220	DNA-binding transcriptional dual regulator DicA
NP_416089.1	b1571	ydfA	ydfA	ydfA	ydfA		ECK120001273	Qin prophage; DUF1391 domain-containing protein YdfA
NP_416090.2	b1572	ydfB	ydfB	ydfB	ydfB		ECK120001274	Qin prophage; uncharacterized protein YdfB
NP_416091.1	b1573	ydfC	ydfC	ydfC	ydfC		ECK120001275	Qin prophage; uncharacterized protein YdfC
NP_416092.1	b1575	dicB	dicB	NA	dicB	ftsT	ECK120000221	Qin prophage; cell division inhibition protein DicB
NP_416093.1	b1576	ydfD	ydfD	NA	ydfD		ECK120001276	Qin prophage; lysis protein
NP_416097.1	b1580	rspB	rspB	NA	rspB		ECK120003427	putative zinc-binding dehydrogenase RspB
NP_416098.1	b1581	rspA	rspA	NA	rspA		ECK120003428	mandelate racemase/muconate lactonizing enzyme family protein RspA
NP_416099.1	b1582	ynfA	ynfA	NA	ynfA		ECK120003429	putative transporter YnfA
NP_416100.1	b1583	ynfB	ynfB	ynfB	ynfB		ECK120003430	DUF1283 domain-containing protein YnfB
NP_416101.1	b1584	speG	speG	speG	speG		ECK120003431	spermidine N-acetyltransferase
NP_416102.2	b1585	ynfC	ynfC	NA	ynfC		ECK120003432	UPF0257 family lipoprotein YnfC
NP_416103.2	b1586	ynfD	ynfD	NA	ynfD		ECK120003433	DUF1161 domain-containing protein YnfD
NP_416104.1	b1587	ynfE	ynfE	ynfE	ynfE		ECK120003434	putative selenate reductase YnfE
NP_416105.4	b1588	ynfF	ynfF	ynfF	ynfF		ECK120003435	putative selenate reductase YnfF
NP_416106.1	b1589	ynfG	ynfG	ynfG	ynfG		ECK120003436	putative oxidoreductase YnfG
NP_416107.1	b1590	ynfH	ynfH	ynfH	ynfH		ECK120003437	putative menaquinol dehydrogenase
NP_416108.2	b1591	dmsD	dmsD	dmsD	dmsD	ynfI	ECK120003438	redox enzyme maturation protein DmsD
NP_416109.2	b1592	clcB	clcB	NA	clcB	ynfJ // mriT	ECK120003439	putative chloride:H(+) antiporter ClcB
NP_416110.4	b1593	ynfK	ynfK	ynfK	ynfK		ECK120003440	putative dethiobiotin synthetase
NP_416111.1	b1594	mlc	mlc	mlc	mlc	dgsA	ECK120003441	DNA-binding transcriptional repressor Mlc
NP_416112.1	b1595	ynfL	ynfL	NA	ynfL		ECK120003442	putative DNA-binding transcriptional regulator
NP_416113.1	b1596	ynfM	ynfM	NA	ynfM	yzyC	ECK120003443	putative transporter YnfM
NP_416114.2	b1597	asr	asr	asr	asr		ECK120003444	acid shock protein
NP_416115.1	b1598	ydgD	ydgD	NA	ydgD		ECK120003445	putative serine protease YdgD
NP_416116.1	b1599	mdtI	mdtI	mdtI	mdtI	ydgE	ECK120003446	multidrug/spermidine efflux pump membrane subunit MdtI
NP_416117.1	b1600	mdtJ	mdtJ	mdtJ	mdtJ	ydgF	ECK120003447	multidrug/spermidine efflux pump membrane subunit MdtJ
NP_416118.1	b1601	tqsA	tqsA	NA	tqsA	ydgG	ECK120003448	autoinducer 2 exporter
NP_416119.1	b1602	pntB	pntB	NA	pntB		ECK120000736	pyridine nucleotide transhydrogenase subunit beta
NP_416120.1	b1603	pntA	pntA	NA	pntA		ECK120000735	pyridine nucleotide transhydrogenase subunit alpha
NP_416121.1	b1604	ydgH	ydgH	NA	ydgH		ECK120003449	DUF1471 domain-containing protein YdgH
NP_416122.1	b1605	ydgI	ydgI	NA	ydgI	arcD	ECK120003450	putative arginine:ornithine antiporter
NP_416123.1	b1606	folM	folM	NA	folM	ydgB	ECK120003451	dihydromonapterin reductase
NP_416124.1	b1607	ydgC	ydgC	NA	ydgC		ECK120003452	GlpM family protein
NP_416125.2	b1608	rstA	rstA	rstA	rstA	urpT	ECK120003453	DNA-binding transcriptional regulator RstA
NP_416126.1	b1609	rstB	rstB	rstB	rstB	uspT	ECK120001211	sensory histidine kinase RstB
NP_416127.1	b1610	tus	tus	NA	tus	tau	ECK120001027	DNA replication terminus site-binding protein
NP_416128.1	b1611	fumC	fumC	fumC	fumC		ECK120000351	fumarase C
NP_416129.1	b1612	fumA	fumA	fumA	fumA		ECK120000349	fumarase A
NP_416130.3	b1613	manA	manA	manA	manA	pmi	ECK120000559	mannose-6-phosphate isomerase
